"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"SE11 Stockholm","16-24 years","primary and secondary education less than 9 years (ISCED97 1)","men",61,356,257,391,312,784,575,496,377,436,416,334,249,223,215,216,236,475,584,648,717,763,882,898,836,807,808,805,831,874,838,882,996,1112,1285,1145
"SE11 Stockholm","16-24 years","primary and secondary education less than 9 years (ISCED97 1)","women",99,564,423,664,532,977,744,661,501,651,599,489,360,314,363,355,381,545,565,663,755,696,893,897,883,887,815,769,702,677,608,650,638,609,567,522
"SE11 Stockholm","16-24 years","primary and secondary education 9-10 years (ISCED97 2)","men",37754,37641,37517,37889,37173,37896,36159,34888,33045,32741,35340,36105,37506,38172,39201,38477,39362,40768,41161,42421,44022,45757,46941,48408,48877,48968,48228,46618,44538,44358,43536,44105,44874,46364,47854,49245
"SE11 Stockholm","16-24 years","primary and secondary education 9-10 years (ISCED97 2)","women",38241,38878,38871,38936,37193,36844,35922,34080,31974,31626,33583,33887,34684,34999,35360,34348,35441,36878,37401,38448,39756,41488,42376,43711,44077,43967,42846,41747,39833,39655,38657,39003,39751,41017,42295,43585
"SE11 Stockholm","16-24 years","upper secondary education, 2 years or less (ISCED97 3C)","men",30654,31659,31997,31366,30312,30173,28422,26426,24294,21437,16925,12851,9540,6439,4098,4051,3892,4455,4099,3757,3145,3824,4695,4792,5125,5283,5259,4803,4409,4175,4099,4204,4211,3999,3851,4172
"SE11 Stockholm","16-24 years","upper secondary education, 2 years or less (ISCED97 3C)","women",31905,31582,30793,29951,28932,29376,26919,25090,22713,19294,15071,11476,8381,5648,3407,3408,3262,3796,3418,3192,2774,3261,4027,4076,4237,4322,4366,4082,3890,3664,3662,3653,3582,3575,3414,3316
"SE11 Stockholm","16-24 years","upper secondary education 3 years (ISCED97 3A)","men",16533,16905,17201,17300,17585,19484,20381,20024,21335,21509,24526,27405,28852,31059,32136,32221,31636,30523,30846,31536,32543,33384,35446,37838,40299,41989,43498,44795,46186,45522,44355,43014,42437,41662,41215,41188
"SE11 Stockholm","16-24 years","upper secondary education 3 years (ISCED97 3A)","women",21028,22262,23395,23585,24188,25219,25927,24565,25254,25930,27417,29586,30422,32017,33308,33461,32631,31185,30931,31286,32135,33179,35394,37213,39671,40994,42244,43318,43861,42794,41714,40295,39545,38549,37802,37416
"SE11 Stockholm","16-24 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",6136,6553,6906,6968,6886,8007,7350,8165,8642,11276,11090,10738,10603,9768,9051,7982,8052,8288,8650,8645,8738,9204,9634,9990,10374,11350,12205,12922,13044,12938,12934,12605,11948,11574,11344,11233
"SE11 Stockholm","16-24 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",3409,3731,3732,3683,3905,5911,5183,7028,7835,10474,11280,11462,12111,11862,11673,10257,10637,11038,11467,11637,11721,11818,12404,12990,13377,14779,15718,16342,16617,16656,16436,15785,14964,14738,14647,14470
"SE11 Stockholm","16-24 years","post-secondary education 3 years or more (ISCED97 5A)","men",368,413,414,386,311,778,511,275,208,345,392,442,446,405,423,2269,2107,2106,2200,2407,2368,2256,2435,2591,2832,3024,3178,3407,3646,3948,4148,4225,3947,3990,3797,3843
"SE11 Stockholm","16-24 years","post-secondary education 3 years or more (ISCED97 5A)","women",573,784,793,740,684,1112,779,458,390,750,1018,1230,1526,1644,1493,3854,3637,3535,3567,3657,3636,3463,3865,4083,4329,4571,4878,5275,5659,6020,6062,6291,5988,5818,5474,5738
"SE11 Stockholm","16-24 years","post-graduate education (ISCED97 6)","men",2,4,2,1,0,3,2,2,2,9,4,4,2,2,4,16,25,31,12,3,5,3,0,1,0,0,4,3,2,0,1,1,1,1,0,0
"SE11 Stockholm","16-24 years","post-graduate education (ISCED97 6)","women",7,4,4,3,2,3,3,3,2,11,8,2,0,0,7,19,21,24,15,8,6,2,2,1,3,3,6,3,1,2,0,0,0,0,0,0
"SE11 Stockholm","16-24 years","no information about level of educational attainment","men",9064,7863,7695,7555,7934,2027,3698,4482,5467,5207,3878,4261,4137,4872,5191,5382,5550,4958,5519,5636,5709,6773,6613,6462,6540,6851,6639,6830,6889,6935,7512,8312,9469,9897,9648,8310
"SE11 Stockholm","16-24 years","no information about level of educational attainment","women",8306,7323,7415,7200,7495,1924,3566,4551,5817,4997,3809,4117,4198,4913,5306,5108,5231,4516,5005,5117,5024,6221,5612,5633,5838,5855,5703,5771,5840,5757,5956,6273,6577,6672,6625,5969
"SE11 Stockholm","25-34 years","primary and secondary education less than 9 years (ISCED97 1)","men",1337,1675,1326,1393,1293,2774,2562,2411,2193,2405,2303,2181,1856,1655,1617,1376,1313,1447,1632,1736,1867,2081,2470,2718,3047,3271,3447,3536,3471,3497,3419,3471,3498,3417,3202,2986
"SE11 Stockholm","25-34 years","primary and secondary education less than 9 years (ISCED97 1)","women",1166,2011,1759,2213,2054,3202,3029,2884,2710,3031,2869,2762,2443,2235,2287,2009,1936,2026,2196,2370,2518,2654,2927,3189,3276,3351,3539,3502,3357,3255,3108,3009,2973,2871,2651,2366
"SE11 Stockholm","25-34 years","primary and secondary education 9-10 years (ISCED97 2)","men",21519,21400,21045,20048,18914,21810,21584,20406,19636,19096,18653,18363,19208,19205,18601,15005,14032,13872,14130,14536,14528,14725,14982,15168,15575,16046,16387,16321,15898,15492,15595,15556,15278,15006,14663,14390
"SE11 Stockholm","25-34 years","primary and secondary education 9-10 years (ISCED97 2)","women",18523,18480,18417,18332,16980,17235,17060,16073,15688,15761,15796,15895,16654,16775,16380,11897,11014,10738,10440,10411,10105,9930,9804,9789,9895,9992,10038,10035,9664,9307,9315,9169,8909,8629,8381,8139
"SE11 Stockholm","25-34 years","upper secondary education, 2 years or less (ISCED97 3C)","men",33624,35571,37445,39429,41152,43884,44535,45346,45191,45544,45859,45744,45296,44141,41621,38181,34414,30074,26231,22927,20268,17348,15299,13508,12207,11428,11348,12247,13158,13546,13252,13470,13520,13529,13512,13473
"SE11 Stockholm","25-34 years","upper secondary education, 2 years or less (ISCED97 3C)","women",37059,37952,39100,39838,42058,45463,45707,46131,45628,45087,44602,43607,42149,40035,37004,32402,28717,24750,21282,18521,16345,14106,12555,11369,10423,9927,9955,10582,11163,11366,11254,11373,11419,11356,11202,11142
"SE11 Stockholm","25-34 years","upper secondary education 3 years (ISCED97 3A)","men",19628,18985,18722,19013,19559,20752,21335,21093,20984,21038,21045,21396,22311,23076,25067,29788,32064,34027,35272,36302,37824,39255,40334,40915,41375,41544,42047,42013,43178,44812,46407,48175,50349,51906,53291,53687
"SE11 Stockholm","25-34 years","upper secondary education 3 years (ISCED97 3A)","women",18634,18245,18953,20007,21661,22318,23929,24627,25306,26567,27300,27917,28504,28818,29830,35236,36056,36783,36513,36411,36380,36222,35883,35447,35198,34986,35051,34869,35227,36235,37223,38157,39558,40255,40452,40245
"SE11 Stockholm","25-34 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",14143,15106,15335,15302,15940,19875,20128,22336,23878,27411,29089,30707,32130,33321,34075,26783,25603,24547,23262,22378,21501,21035,21085,21501,22334,23553,25308,26740,27995,29103,30333,31553,32545,33266,33623,33690
