"region","occupation (SSYK 2012)","sector","sex","2014","2015","2016","2017"
"19 Västmanland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"19 Västmanland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"20 Dalarna county","311 Physical and engineering science technicians","central government","men",48,52,56,37
"20 Dalarna county","311 Physical and engineering science technicians","central government","women",26,26,27,28
"20 Dalarna county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"20 Dalarna county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"20 Dalarna county","311 Physical and engineering science technicians","primary local government","men",61,54,61,71
"20 Dalarna county","311 Physical and engineering science technicians","primary local government","women",30,36,33,41
"20 Dalarna county","311 Physical and engineering science technicians","county councils","men",11,12,12,14
"20 Dalarna county","311 Physical and engineering science technicians","county councils","women",6,6,5,4
"20 Dalarna county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"20 Dalarna county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"20 Dalarna county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",2029,2011,2092,2085
"20 Dalarna county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",313,353,376,409
"20 Dalarna county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",4,2,21,22
"20 Dalarna county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",1,0,1,0
"20 Dalarna county","311 Physical and engineering science technicians","central government corporations and organisations","men",45,48,52,54
"20 Dalarna county","311 Physical and engineering science technicians","central government corporations and organisations","women",9,6,9,10
"20 Dalarna county","311 Physical and engineering science technicians","local government corporations and organisations","men",70,65,88,100
"20 Dalarna county","311 Physical and engineering science technicians","local government corporations and organisations","women",20,22,24,26
"20 Dalarna county","311 Physical and engineering science technicians","other organisations","men",16,28,27,17
"20 Dalarna county","311 Physical and engineering science technicians","other organisations","women",1,2,0,0
"20 Dalarna county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"20 Dalarna county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"21 Gävleborg county","311 Physical and engineering science technicians","central government","men",55,62,59,55
"21 Gävleborg county","311 Physical and engineering science technicians","central government","women",50,50,58,57
"21 Gävleborg county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"21 Gävleborg county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"21 Gävleborg county","311 Physical and engineering science technicians","primary local government","men",54,60,53,61
"21 Gävleborg county","311 Physical and engineering science technicians","primary local government","women",38,38,37,36
"21 Gävleborg county","311 Physical and engineering science technicians","county councils","men",3,6,10,12
"21 Gävleborg county","311 Physical and engineering science technicians","county councils","women",0,2,3,7
"21 Gävleborg county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"21 Gävleborg county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"21 Gävleborg county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1745,1747,1946,2052
"21 Gävleborg county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",252,254,303,333
"21 Gävleborg county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",11,19,34,28
"21 Gävleborg county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",2,3,5,4
"21 Gävleborg county","311 Physical and engineering science technicians","central government corporations and organisations","men",46,53,50,44
"21 Gävleborg county","311 Physical and engineering science technicians","central government corporations and organisations","women",16,15,10,10
"21 Gävleborg county","311 Physical and engineering science technicians","local government corporations and organisations","men",111,121,140,149
"21 Gävleborg county","311 Physical and engineering science technicians","local government corporations and organisations","women",31,31,35,39
"21 Gävleborg county","311 Physical and engineering science technicians","other organisations","men",11,9,12,10
"21 Gävleborg county","311 Physical and engineering science technicians","other organisations","women",2,3,4,4
"21 Gävleborg county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"21 Gävleborg county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"22 Västernorrland county","311 Physical and engineering science technicians","central government","men",46,42,46,41
"22 Västernorrland county","311 Physical and engineering science technicians","central government","women",4,7,8,8
"22 Västernorrland county","311 Physical and engineering science technicians","central government quasi-corporations","men",1,2,1,0
"22 Västernorrland county","311 Physical and engineering science technicians","central government quasi-corporations","women",1,1,1,1
"22 Västernorrland county","311 Physical and engineering science technicians","primary local government","men",71,61,69,72
"22 Västernorrland county","311 Physical and engineering science technicians","primary local government","women",42,46,46,38
"22 Västernorrland county","311 Physical and engineering science technicians","county councils","men",10,14,10,8
"22 Västernorrland county","311 Physical and engineering science technicians","county councils","women",3,4,2,1
"22 Västernorrland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"22 Västernorrland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"22 Västernorrland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1937,1886,1889,1895
"22 Västernorrland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",303,301,302,311
"22 Västernorrland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",13,13,15,13
"22 Västernorrland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",1,0,0,3
"22 Västernorrland county","311 Physical and engineering science technicians","central government corporations and organisations","men",71,88,75,86
"22 Västernorrland county","311 Physical and engineering science technicians","central government corporations and organisations","women",9,8,8,11
"22 Västernorrland county","311 Physical and engineering science technicians","local government corporations and organisations","men",84,86,99,104
"22 Västernorrland county","311 Physical and engineering science technicians","local government corporations and organisations","women",28,28,27,24
"22 Västernorrland county","311 Physical and engineering science technicians","other organisations","men",15,17,17,14
"22 Västernorrland county","311 Physical and engineering science technicians","other organisations","women",4,4,2,3
"22 Västernorrland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"22 Västernorrland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","central government","men",8,9,10,16
"23 Jämtland county","311 Physical and engineering science technicians","central government","women",2,4,4,8
"23 Jämtland county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","primary local government","men",70,64,57,65
"23 Jämtland county","311 Physical and engineering science technicians","primary local government","women",25,20,22,27
"23 Jämtland county","311 Physical and engineering science technicians","county councils","men",6,6,6,7
"23 Jämtland county","311 Physical and engineering science technicians","county councils","women",1,2,2,2
"23 Jämtland county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",457,445,456,444
"23 Jämtland county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",64,62,59,66
"23 Jämtland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",10,8,9,8
"23 Jämtland county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","central government corporations and organisations","men",49,45,51,51
"23 Jämtland county","311 Physical and engineering science technicians","central government corporations and organisations","women",5,4,5,4
"23 Jämtland county","311 Physical and engineering science technicians","local government corporations and organisations","men",80,83,86,88
"23 Jämtland county","311 Physical and engineering science technicians","local government corporations and organisations","women",4,6,5,8
"23 Jämtland county","311 Physical and engineering science technicians","other organisations","men",23,22,21,18
"23 Jämtland county","311 Physical and engineering science technicians","other organisations","women",3,3,4,4
"23 Jämtland county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"23 Jämtland county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"24 Västerbotten county","311 Physical and engineering science technicians","central government","men",26,27,32,25
"24 Västerbotten county","311 Physical and engineering science technicians","central government","women",4,7,11,15
"24 Västerbotten county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"24 Västerbotten county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"24 Västerbotten county","311 Physical and engineering science technicians","primary local government","men",105,102,114,110
"24 Västerbotten county","311 Physical and engineering science technicians","primary local government","women",52,52,53,56
"24 Västerbotten county","311 Physical and engineering science technicians","county councils","men",6,15,15,13
"24 Västerbotten county","311 Physical and engineering science technicians","county councils","women",0,2,1,1
"24 Västerbotten county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"24 Västerbotten county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"24 Västerbotten county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1612,2462,2575,2581
"24 Västerbotten county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",199,314,340,370
"24 Västerbotten county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",37,40,33,25
"24 Västerbotten county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",7,5,3,4
"24 Västerbotten county","311 Physical and engineering science technicians","central government corporations and organisations","men",137,139,128,137
"24 Västerbotten county","311 Physical and engineering science technicians","central government corporations and organisations","women",41,30,35,57
"24 Västerbotten county","311 Physical and engineering science technicians","local government corporations and organisations","men",130,134,216,232
"24 Västerbotten county","311 Physical and engineering science technicians","local government corporations and organisations","women",29,29,50,54
"24 Västerbotten county","311 Physical and engineering science technicians","other organisations","men",24,32,31,30
"24 Västerbotten county","311 Physical and engineering science technicians","other organisations","women",7,3,3,5
"24 Västerbotten county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"24 Västerbotten county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"25 Norrbotten county","311 Physical and engineering science technicians","central government","men",242,252,262,239
"25 Norrbotten county","311 Physical and engineering science technicians","central government","women",49,55,62,61
"25 Norrbotten county","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"25 Norrbotten county","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"25 Norrbotten county","311 Physical and engineering science technicians","primary local government","men",83,80,93,87
"25 Norrbotten county","311 Physical and engineering science technicians","primary local government","women",35,39,44,47
"25 Norrbotten county","311 Physical and engineering science technicians","county councils","men",12,14,11,12
"25 Norrbotten county","311 Physical and engineering science technicians","county councils","women",0,0,2,0
"25 Norrbotten county","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"25 Norrbotten county","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"25 Norrbotten county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",1288,1271,1352,1330
"25 Norrbotten county","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",176,187,222,237
"25 Norrbotten county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",5,4,24,30
"25 Norrbotten county","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",3,2,8,8
"25 Norrbotten county","311 Physical and engineering science technicians","central government corporations and organisations","men",444,497,425,444
"25 Norrbotten county","311 Physical and engineering science technicians","central government corporations and organisations","women",128,129,114,136
"25 Norrbotten county","311 Physical and engineering science technicians","local government corporations and organisations","men",78,78,83,81
"25 Norrbotten county","311 Physical and engineering science technicians","local government corporations and organisations","women",11,10,10,10
"25 Norrbotten county","311 Physical and engineering science technicians","other organisations","men",18,14,19,20
"25 Norrbotten county","311 Physical and engineering science technicians","other organisations","women",2,2,1,1
"25 Norrbotten county","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"25 Norrbotten county","311 Physical and engineering science technicians","information missing","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","central government","men",10,6,6,6
"99 County unknown","311 Physical and engineering science technicians","central government","women",1,1,0,1
"99 County unknown","311 Physical and engineering science technicians","central government quasi-corporations","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","central government quasi-corporations","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","primary local government","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","primary local government","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","county councils","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","county councils","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","other public institutions","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","other public institutions","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","men",28,22,21,24
"99 County unknown","311 Physical and engineering science technicians","joint-stock corporations not controlled by the government sector","women",3,0,1,0
"99 County unknown","311 Physical and engineering science technicians","other corporations not controlled by the government sector","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","other corporations not controlled by the government sector","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","central government corporations and organisations","men",1,0,0,0
"99 County unknown","311 Physical and engineering science technicians","central government corporations and organisations","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","local government corporations and organisations","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","local government corporations and organisations","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","other organisations","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","other organisations","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","information missing","men",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","information missing","women",0,0,0,0
