"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"311 Physical and engineering science technicians","18-24 years","men",17800,18600,19300,20500,20000,20500,20900,21900,22400,23500,23700,24400,24900,26200
"311 Physical and engineering science technicians","18-24 years","women",17600,19200,19200,20100,18100,20100,20900,22200,22900,23400,23600,22400,23700,24700
"311 Physical and engineering science technicians","25-29 years","men",21200,22400,23300,23600,24000,24700,25600,26400,27600,27600,28300,29400,30200,29900
"311 Physical and engineering science technicians","25-29 years","women",20800,21900,22700,22900,23500,23800,24800,25600,26600,27300,27700,28100,29200,29000
"311 Physical and engineering science technicians","30-34 years","men",23900,24700,25900,26400,27300,27800,29000,29700,31000,31300,31500,32500,33800,34500
"311 Physical and engineering science technicians","30-34 years","women",22000,23600,24600,25200,25900,26900,27600,28200,29700,30600,30900,31800,32400,33100
"311 Physical and engineering science technicians","35-39 years","men",25100,26500,27100,27700,28300,29400,29800,31100,32500,33500,33600,35300,36700,37300
"311 Physical and engineering science technicians","35-39 years","women",22900,23600,24400,25200,25900,26300,27500,28100,30500,31300,32500,33100,34400,35400
"311 Physical and engineering science technicians","40-44 years","men",25000,26500,27200,28100,29400,30700,30800,31900,33900,34400,34900,36000,37400,38600
"311 Physical and engineering science technicians","40-44 years","women",21500,23400,24500,25100,26300,27100,28400,29700,31000,32200,32700,34000,35500,36200
"311 Physical and engineering science technicians","45-49 years","men",24800,25800,26600,27400,29100,30300,31200,32400,34100,34600,35800,37200,37500,38300
"311 Physical and engineering science technicians","45-49 years","women",21400,22800,23400,24100,25700,27000,27800,29200,31400,32200,33100,34300,34800,36000
"311 Physical and engineering science technicians","50-54 years","men",24500,25900,26900,27400,29300,30600,31400,32000,33700,34600,35400,38700,38200,38800
"311 Physical and engineering science technicians","50-54 years","women",20900,21300,22000,23400,24700,26200,27000,28300,31600,31000,32500,32500,36300,35800
"311 Physical and engineering science technicians","55-59 years","men",24500,25700,26400,27200,29100,29900,30700,32000,33400,34800,35400,36400,36900,39400
"311 Physical and engineering science technicians","55-59 years","women",20900,21000,21900,23100,24300,25700,26300,27300,28400,29100,30400,31600,32400,34500
"311 Physical and engineering science technicians","60-64 years","men",24600,25600,26300,26500,28900,29900,30800,32000,34300,34600,35500,36500,37600,38700
"311 Physical and engineering science technicians","60-64 years","women",20500,23800,28700,25700,23200,25000,26200,27600,27800,27500,27600,30300,31800,32300
"311 Physical and engineering science technicians","total","men",24000,25200,26100,26800,28200,29300,30000,31000,32500,33200,33900,35300,36100,36900
"311 Physical and engineering science technicians","total","women",21400,22600,23600,24300,24900,26000,27000,27900,29600,30400,31100,31900,33100,33700
