"sector","occupational group (SSYK)","sex","level of education","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0 all sectors","214 Architects, engineers and related professionals","men","All educational levels",45600,47500,47200,50100,55500,57200,58700,56700,57000,57200,58200
"0 all sectors","214 Architects, engineers and related professionals","women","All educational levels",12100,11200,10800,12200,13400,16000,16600,17100,18300,18600,18700
