"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"03 Uppsala county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",24410,24908,25470,26154,27003,29170,29644,30271,30238,29897,29293,28712,28201,27636,27118,26696,26538,26229,25823,25431,25028,26286,26237,25859,25510,25160,24859,24560,24291,23912,23556,23360,22984,22488
"03 Uppsala county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",11642,11645,11870,12102,12437,13354,13939,13812,14145,14923,15496,16206,16701,17161,17596,18447,18930,19446,20100,20970,21828,23297,24114,25197,26224,26978,27863,28841,29563,30295,30996,31700,32631,33177
"03 Uppsala county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",8102,8279,8618,9070,9706,10384,11108,11090,11597,12499,13223,13713,14084,14552,14758,16452,16866,17451,17935,18449,19291,20713,21432,22431,23283,23820,24303,24972,25550,26062,26492,27035,27818,28179
"03 Uppsala county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5802,6304,6516,6774,7142,8800,9117,10918,12074,13309,13954,14371,14620,14988,15407,13355,13413,13588,13665,13851,14095,14711,15130,15451,15988,16681,17235,17514,17771,17978,18318,18566,18942,19388
"03 Uppsala county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",7973,8625,8799,8854,9351,11611,11910,13907,15226,16754,17517,18037,18552,18908,19541,16861,16971,17034,17258,17515,17248,17847,18054,18255,18635,19176,19684,19990,20312,20326,20600,20836,21067,21490
"03 Uppsala county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",9225,9367,9468,9558,10064,11472,11442,11422,11439,11954,11999,12020,12205,12263,12541,15821,16510,17347,17932,18380,18839,19410,19906,20486,21291,22040,22627,23283,23999,24565,25023,25712,26311,27013
"03 Uppsala county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",9046,9427,9698,9978,10361,11502,11619,11660,11869,12515,12831,13182,13653,13980,14653,19296,20542,21672,22641,23557,24809,25961,26978,28056,29187,30316,31359,32438,33521,34563,35755,36917,38052,39292
"03 Uppsala county","total 16-74 years","post-graduate education (ISCED97 6)","men",2397,2584,2685,2780,2869,2936,3011,3008,3043,3258,3334,3377,3412,3477,3624,3753,3913,4006,4079,4164,4203,4252,4371,4463,4544,4638,4692,4725,4801,4826,4867,4910,4977,4997
"03 Uppsala county","total 16-74 years","post-graduate education (ISCED97 6)","women",702,783,843,874,934,770,812,819,849,996,1052,1118,1182,1245,1353,1501,1654,1814,1908,2069,2192,2271,2439,2562,2722,2846,2937,3079,3193,3329,3437,3547,3652,3775
"03 Uppsala county","total 16-74 years","no information about level of educational attainment","men",5114,4944,5213,5450,5805,1473,2314,2816,3289,2055,1869,1990,1917,2172,1974,1720,1824,1650,1760,1736,1669,1955,1969,2204,2444,2682,2526,2521,2561,2605,2764,3267,3888,4433
"03 Uppsala county","total 16-74 years","no information about level of educational attainment","women",4025,3891,4247,4375,4812,1233,1931,2452,3048,1891,1786,1866,1818,2003,1813,1567,1674,1519,1681,1645,1520,1744,1649,1794,2001,2151,1921,2008,2008,2046,2103,2454,2659,2901
"04 Södermanland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",27931,26941,25751,24706,23543,23149,22187,21287,20362,19575,18630,17762,16828,16031,15268,14214,13565,12969,12459,11956,11335,10897,10450,10019,9555,9204,8785,8394,8004,7702,7398,7093,6655,6229
"04 Södermanland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",30124,29146,27937,26925,25327,24173,23161,21679,20626,19885,18781,17668,16566,15650,14740,13647,12853,12145,11473,10815,10192,9637,9187,8805,8407,8119,7795,7579,7380,7199,6972,6700,6383,6034
"04 Södermanland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",12900,12628,12620,12919,13003,13764,13729,13626,13436,13456,13864,14251,14785,15030,15281,14197,14270,14545,14667,14978,15384,15882,16289,16580,16600,16502,16566,16576,16313,16379,16431,16675,16935,17327
"04 Södermanland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",15292,15162,15197,15253,14813,14836,14886,14203,13851,13919,14365,14567,14822,14958,15178,13681,13624,13676,13641,13739,13986,14245,14431,14582,14544,14531,14304,13902,13596,13541,13473,13570,13692,13785
"04 Södermanland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",24525,25597,26572,27326,27879,29181,29376,29648,29825,29790,29156,28361,27930,27493,27201,27751,27822,27873,27788,27588,27393,27247,27222,27084,26938,26773,26618,26522,26339,26290,26259,26168,25782,25554
"04 Södermanland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",25158,25841,26494,26998,28144,30526,30642,31771,31777,31500,30876,30085,29597,28942,28517,28225,28051,27851,27559,27210,26852,26466,26272,25992,25714,25326,25018,24833,24612,24298,24021,23717,23150,22706
"04 Södermanland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",10176,10170,10168,10228,10364,12092,12426,12618,12833,13603,14190,14635,15273,15571,16010,16980,17597,18169,18725,19308,19967,20658,21372,22213,23003,23799,24559,25184,25856,26327,26830,27296,27819,28069
"04 Södermanland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5249,5437,5736,5988,6418,7509,7868,8150,8540,9207,9763,10187,10637,11182,11606,13418,13988,14624,15217,15688,16274,16887,17510,18296,18982,19476,20099,20781,21249,21575,21946,22173,22725,22973
"04 Södermanland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5585,5925,6231,6508,6850,8067,8223,8484,8810,9073,9110,9262,9465,9581,9662,9549,9684,9892,10048,10237,10348,10425,10537,10678,10802,11068,11341,11569,11798,12070,12281,12540,12712,12901
"04 Södermanland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",5645,5889,6024,6210,6532,8079,8314,8724,9139,9705,9932,10365,10680,10993,11254,10606,10894,11208,11481,11603,11469,11478,11587,11791,12011,12369,12612,12788,12920,13070,13274,13555,13772,13985
"04 Södermanland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5026,5079,5109,5179,5450,5827,5809,5754,5758,6066,6081,6070,6196,6262,6397,7165,7476,7784,8126,8452,8821,9112,9475,9785,9942,10186,10419,10618,10819,11145,11352,11624,11784,11991
"04 Södermanland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4464,4663,4787,4950,5158,5429,5504,5550,5676,6052,6197,6364,6668,6953,7316,9242,9829,10481,11122,11934,12888,13648,14336,15020,15603,16199,16851,17428,17938,18540,19070,19555,20090,20679
"04 Södermanland county","total 16-74 years","post-graduate education (ISCED97 6)","men",327,332,330,344,353,316,317,318,331,362,366,364,371,371,370,392,412,426,437,449,462,471,488,505,539,540,533,540,543,555,554,561,569,567
"04 Södermanland county","total 16-74 years","post-graduate education (ISCED97 6)","women",80,91,96,101,103,48,51,50,51,67,66,63,68,77,81,96,110,115,140,156,164,193,211,232,243,262,273,282,293,319,334,348,353,369
"04 Södermanland county","total 16-74 years","no information about level of educational attainment","men",5078,4705,4790,4986,5526,1174,1568,1847,2359,1654,1299,1323,1167,1278,1194,1236,1316,1232,1301,1291,1307,1400,1569,1565,1716,1808,1660,1710,1880,1848,1955,2389,2529,2711
"04 Södermanland county","total 16-74 years","no information about level of educational attainment","women",4327,3904,3936,3969,4265,949,1310,1562,2128,1497,1277,1252,1141,1226,1217,1145,1211,1174,1299,1264,1239,1361,1371,1495,1610,1659,1549,1559,1705,1561,1629,1969,1958,2090
