"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"07 Kronoberg county","total 16-74 years","no information about level of educational attainment","men",3832,3568,3586,3687,4087,808,1126,1183,1514,1101,863,869,803,810,734,717,763,726,866,893,908,1249,1388,1456,1566,1676,1545,1552,1727,1734,1863,2121,2432,2494
"07 Kronoberg county","total 16-74 years","no information about level of educational attainment","women",2803,2492,2521,2583,2795,700,929,1048,1452,985,845,832,791,808,769,713,752,708,823,892,849,1087,1074,1163,1336,1298,1193,1186,1267,1305,1311,1529,1690,1660
"08 Kalmar county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",31280,30062,28693,27553,26362,25564,24366,23283,22254,21354,20370,19308,18271,17401,16498,15350,14537,13789,13036,12349,11664,10942,10317,9751,9207,8685,8086,7607,7070,6620,6277,5978,5413,4866
"08 Kalmar county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",30420,29239,27940,26831,25480,24358,23243,21705,20640,19848,18725,17606,16505,15468,14567,13395,12514,11704,10948,10217,9546,8907,8353,7794,7248,6808,6338,5892,5461,5030,4745,4487,4147,3790
"08 Kalmar county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",13553,13610,13538,13607,13745,14462,14449,14334,14263,14499,15205,15171,15595,15740,15922,14611,14570,14712,14848,15121,15295,15477,15780,15872,15825,15646,15443,15181,14750,14717,14682,14963,15195,15370
"08 Kalmar county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",13786,13688,13719,13876,13683,13537,13369,12868,12758,12951,13212,13215,13367,13422,13492,12114,12015,12023,12032,12136,12201,12275,12338,12508,12314,12111,11648,11185,10721,10482,10353,10476,10434,10463
"08 Kalmar county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",21489,22179,23035,23778,24259,25990,26346,26680,26805,26650,26036,25526,25056,24661,24307,24957,24840,24810,24614,24343,24183,24177,24046,23889,23658,23451,23284,23190,22955,22785,22655,22575,22349,22048
"08 Kalmar county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",24241,24695,25324,25874,26617,28387,28655,29364,29316,28991,28511,28054,27530,27026,26611,26242,25854,25482,25007,24660,24342,24047,23802,23479,23099,22668,22314,22028,21643,21224,20872,20507,20109,19532
"08 Kalmar county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",7159,7227,7391,7421,7592,8887,9104,9299,9565,10400,11049,11738,12179,12639,13100,13671,14066,14562,15159,15568,16214,16783,17373,18009,18878,19470,19999,20586,21168,21590,21927,22249,22623,22826
"08 Kalmar county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",4200,4405,4673,4891,5109,6123,6578,6677,7025,7918,8592,9104,9487,9703,10033,11599,12088,12521,13115,13499,13954,14505,15096,15562,16256,16689,17290,17761,18058,18313,18538,18705,18984,19087
"08 Kalmar county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",4234,4530,4748,4938,5280,6054,6163,6451,6698,6996,7180,7334,7517,7576,7747,7831,8017,8248,8493,8546,8649,8664,8817,8971,9116,9344,9550,9758,9920,10232,10479,10807,10808,10952
"08 Kalmar county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",4994,5311,5443,5564,6068,7135,7351,8152,8492,8824,9000,9276,9560,9832,9911,9196,9495,9907,10387,10601,10502,10512,10641,10749,10826,11119,11247,11352,11498,11713,11812,11961,12160,12246
"08 Kalmar county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",4153,4224,4279,4273,4435,4857,4936,4941,4999,5227,5300,5376,5454,5485,5591,6405,6658,6961,7293,7661,7909,8122,8374,8517,8754,8897,9038,9250,9456,9703,9967,10188,10360,10463
"08 Kalmar county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",3817,3970,4062,4177,4399,4543,4698,4760,4886,5146,5360,5599,5874,6082,6454,8190,8711,9249,9732,10362,11168,11738,12271,12702,13208,13660,14129,14641,15052,15545,16110,16690,17090,17520
"08 Kalmar county","total 16-74 years","post-graduate education (ISCED97 6)","men",195,197,202,202,207,178,175,176,173,190,193,203,202,208,225,227,246,255,263,275,293,309,334,346,343,350,349,355,353,373,394,410,411,419
"08 Kalmar county","total 16-74 years","post-graduate education (ISCED97 6)","women",59,54,60,62,69,27,29,29,32,39,41,45,43,47,53,67,82,96,105,115,131,142,158,176,188,212,213,246,261,277,294,309,324,337
"08 Kalmar county","total 16-74 years","no information about level of educational attainment","men",4517,4273,4286,4289,4798,894,1247,1335,1794,1367,972,979,883,938,855,915,982,962,1039,1079,1125,1335,1281,1292,1409,1414,1378,1418,1488,1560,1656,2333,2157,2191
"08 Kalmar county","total 16-74 years","no information about level of educational attainment","women",3141,2790,2791,2785,3039,705,1000,1069,1484,1185,956,927,848,899,826,835,889,895,959,989,954,1087,1029,1037,1092,1086,1002,1019,1093,1094,1128,1586,1420,1455
"09 Gotland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",6998,6698,6396,6135,5859,5653,5431,5201,4992,4811,4613,4361,4157,3957,3806,3578,3386,3242,3076,2951,2785,2654,2544,2425,2294,2179,2048,1919,1814,1682,1563,1481,1360,1260
"09 Gotland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",6789,6538,6270,6001,5738,5356,5086,4822,4571,4374,4123,3879,3665,3486,3338,3118,2971,2775,2589,2417,2275,2133,1989,1843,1713,1606,1484,1381,1267,1136,1060,972,871,769
"09 Gotland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",2624,2578,2576,2669,2764,3018,3101,3086,3046,3009,3168,3194,3315,3472,3547,3262,3196,3216,3220,3328,3447,3489,3559,3556,3577,3528,3462,3366,3287,3252,3213,3262,3287,3338
"09 Gotland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",3215,3225,3260,3335,3341,3151,3141,3072,3017,3031,3154,3188,3309,3325,3401,3101,3097,3069,3071,3120,3142,3198,3141,3097,3022,2951,2850,2715,2636,2536,2508,2498,2516,2538
"09 Gotland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",5568,5780,6006,6156,6275,6593,6639,6697,6753,6767,6653,6531,6417,6272,6161,6213,6215,6186,6128,6060,6010,5974,5939,5898,5854,5790,5705,5601,5571,5482,5426,5395,5297,5189
"09 Gotland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",5948,6069,6257,6420,6568,7206,7219,7353,7375,7381,7284,7126,6977,6829,6727,6590,6529,6419,6303,6223,6140,6024,5932,5855,5802,5700,5592,5513,5410,5300,5204,5144,4991,4859
"09 Gotland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",1781,1792,1827,1846,1711,2042,2137,2235,2374,2523,2632,2860,2955,3107,3180,3443,3637,3663,3876,4062,4188,4322,4429,4635,4899,5078,5237,5347,5469,5543,5655,5688,5736,5863
"09 Gotland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",1028,1112,1161,1189,1281,1509,1617,1644,1857,1987,2077,2248,2282,2414,2502,2955,3125,3289,3457,3683,3858,3926,4099,4242,4501,4601,4714,4773,4766,4843,4888,4952,5004,5054
"09 Gotland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",1016,1078,1094,1105,1055,1264,1264,1329,1390,1509,1535,1594,1659,1731,1790,1742,1753,1830,1891,1930,1915,1988,2020,2027,2058,2148,2199,2240,2258,2312,2311,2416,2495,2501
"09 Gotland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",1153,1199,1219,1246,1313,1582,1595,1712,1754,1871,1938,2042,2140,2205,2298,2054,2124,2238,2399,2412,2397,2414,2393,2370,2358,2433,2552,2668,2703,2689,2682,2734,2810,2860
"09 Gotland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",1181,1199,1194,1198,1495,1541,1563,1554,1572,1631,1645,1646,1666,1706,1710,1889,1943,2068,2117,2217,2281,2309,2348,2425,2443,2491,2575,2625,2666,2691,2733,2745,2785,2820
"09 Gotland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",1064,1096,1137,1151,1188,1200,1248,1264,1286,1364,1422,1476,1586,1644,1722,2177,2317,2435,2559,2788,2958,3108,3263,3403,3562,3712,3827,3922,4054,4218,4356,4491,4628,4776
"09 Gotland county","total 16-74 years","post-graduate education (ISCED97 6)","men",57,62,61,59,60,47,46,45,44,44,49,52,51,54,63,71,79,83,88,92,92,96,100,98,103,108,108,103,105,108,114,110,121,116
"09 Gotland county","total 16-74 years","post-graduate education (ISCED97 6)","women",19,20,18,17,19,13,13,14,16,15,17,16,15,17,21,28,29,29,34,35,40,45,46,50,51,54,59,58,60,65,62,66,70,73
"09 Gotland county","total 16-74 years","no information about level of educational attainment","men",1122,1057,1047,1032,1072,173,221,269,315,272,222,229,229,218,197,193,211,171,197,189,190,224,220,214,237,242,235,252,266,241,240,326,401,463
"09 Gotland county","total 16-74 years","no information about level of educational attainment","women",665,621,619,612,637,107,138,186,210,161,150,160,161,175,164,159,172,158,171,159,155,176,167,163,170,177,171,163,170,168,187,203,229,268
"10 Blekinge county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",18443,17695,16953,16296,15512,15026,14400,13756,13243,12769,12232,11666,11104,10641,10127,9500,9032,8618,8231,7852,7425,7043,6665,6278,5928,5598,5252,4928,4638,4415,4181,3924,3639,3330
"10 Blekinge county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",19796,18989,18149,17365,16530,15652,14941,14154,13513,13021,12388,11690,11032,10499,9914,9177,8630,8133,7649,7221,6728,6330,5931,5603,5281,4993,4642,4331,4041,3834,3570,3358,3135,2843
"10 Blekinge county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",6815,6709,6571,6589,6592,7099,7271,7274,7341,7329,7696,7678,7837,8157,8243,7624,7524,7600,7656,7782,7908,8120,8130,8211,8269,8138,8096,7939,7774,7805,7891,8128,8177,8216
"10 Blekinge county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",7985,7946,7927,7887,7767,7823,7871,7654,7509,7477,7800,7782,7851,8000,7991,7203,7085,7092,7078,7051,6973,7111,7274,7340,7209,7122,6886,6752,6508,6483,6386,6380,6373,6462
"10 Blekinge county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",15277,15791,16251,16705,16827,17213,17291,17477,17505,17425,16900,16607,16358,16070,15783,15914,15918,15795,15691,15565,15435,15422,15397,15226,15056,14909,14769,14577,14408,14278,14199,14075,13839,13626
"10 Blekinge county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",15787,16113,16414,16726,17144,18186,18251,18570,18566,18276,17797,17453,17154,16808,16496,16051,15782,15591,15340,15163,14901,14765,14592,14391,14171,13980,13699,13393,13136,12904,12679,12409,12059,11696
"10 Blekinge county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",5838,5746,5693,5533,5250,6332,6641,6926,7094,7720,8133,8709,9126,9241,9482,9917,10047,10042,10281,10669,11072,11286,11543,11873,12297,12620,12956,13336,13552,13840,14118,14268,14565,14829
"10 Blekinge county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",2681,2769,2919,3037,3221,3897,4230,4479,4668,5302,5654,5973,6379,6478,6752,7664,7948,8086,8378,8621,8934,9130,9407,9583,9920,10188,10519,10658,10934,11149,11389,11629,11801,11859
"10 Blekinge county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",3336,3429,3521,3777,3914,4486,4553,4698,5067,5368,5577,5736,5950,6147,6354,6375,6514,6516,6505,6562,6628,6825,6995,7077,7254,7557,7870,7850,7807,7919,8193,8500,8549,8450
"10 Blekinge county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",3110,3299,3362,3522,3764,4455,4612,4881,5248,5588,5784,5924,6107,6439,6679,6415,6512,6624,6784,6907,6813,6813,6802,6979,7071,7352,7557,7544,7671,7733,7843,7957,8105,8145
"10 Blekinge county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",2826,2876,2891,2912,3674,3935,3973,3991,4029,4240,4326,4362,4429,4475,4562,5167,5404,5807,6051,6238,6444,6587,6851,7099,7262,7527,7549,7385,7498,7683,7959,8194,8322,8369
"10 Blekinge county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",2280,2392,2444,2536,2719,2909,2990,3041,3114,3348,3546,3732,3969,4206,4392,5682,6044,6472,6846,7288,7803,8182,8639,8910,9189,9550,9825,10093,10454,10845,11214,11530,11806,12058
"10 Blekinge county","total 16-74 years","post-graduate education (ISCED97 6)","men",107,103,103,109,115,100,111,115,122,127,131,128,141,146,152,177,195,206,209,215,231,236,252,265,264,271,274,271,278,282,298,310,296,304
"10 Blekinge county","total 16-74 years","post-graduate education (ISCED97 6)","women",39,38,39,37,46,23,25,26,29,36,36,37,43,46,51,58,63,78,81,86,88,96,102,123,123,132,133,132,138,136,150,170,172,179
"10 Blekinge county","total 16-74 years","no information about level of educational attainment","men",2566,2402,2451,2479,2606,526,701,787,984,792,580,620,594,683,643,662,685,641,709,729,879,1158,1264,1363,1480,1554,1261,1120,1115,1120,1256,1518,1498,1520
"10 Blekinge county","total 16-74 years","no information about level of educational attainment","women",2042,1942,1978,1970,2075,474,640,707,952,749,627,649,620,641,588,523,547,545,577,585,619,727,742,811,905,874,749,745,779,748,806,974,937,944
"12 Skåne county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",103071,99390,95231,91584,87579,86624,82996,79325,76015,73382,69938,66590,62745,59807,57017,53109,50429,48069,45951,43853,41798,39895,38353,36777,35102,33533,31941,30352,28719,27532,26171,25166,24009,22609
"12 Skåne county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",109940,106257,101760,98009,93048,89586,85532,80154,76325,73731,69884,66090,62239,58920,55957,52040,48955,46141,43495,41128,38871,36748,35049,33515,31911,30516,29161,27855,26526,25447,24237,23162,22267,21247
"12 Skåne county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",55927,56276,56614,57241,57639,60936,61560,61248,60523,61353,64231,64558,66673,67681,69001,63787,63958,65270,65730,67032,68182,69688,70901,71966,72366,72273,71687,71133,70436,70497,70464,71169,72024,72776
"12 Skåne county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",63729,63694,63920,64460,63261,63496,63762,61487,60271,60576,61804,61709,62917,63660,64224,57921,57395,57853,57633,58117,58464,59144,59558,59869,59890,59547,58725,57448,56163,55392,54797,55019,55066,55472
"12 Skåne county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",92248,95470,98901,101559,102924,107364,108322,109138,109321,108949,106599,104648,103190,101498,100203,102739,102451,101976,101036,100104,99187,99150,99455,99039,98730,98322,98159,97610,96913,96669,96310,96049,95331,94077
"12 Skåne county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",107069,109018,111336,113176,115603,122515,122731,125702,125299,124254,121663,119435,117278,114703,112584,110903,109578,107804,105485,103797,102179,101054,100225,99026,97584,96200,95045,93767,92313,91020,89645,88424,86811,84689
"12 Skåne county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",47192,47285,47880,48475,48896,54768,56162,56118,56741,60479,63286,66557,69419,72057,74212,76100,78365,80557,82314,84761,87490,89876,92899,96077,99220,101880,104611,106826,109378,111253,113512,115256,116889,118379
"12 Skåne county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",27795,28824,30206,31544,33421,38306,40592,40693,42006,45387,48791,51772,53868,56245,58468,65254,67991,70286,72594,74820,77462,79916,83039,85600,88944,91060,92941,95333,97016,98487,99837,101061,102295,103301
"12 Skåne county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",21914,23343,24202,25013,26275,32609,33607,37411,40279,42811,43934,44747,45442,46020,47074,46416,47214,48525,49849,50885,51843,52591,53906,55448,57211,59291,61136,62480,63462,64769,66041,67639,68832,70053
"12 Skåne county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",25654,27384,28216,28868,30717,38622,39713,44104,47005,50493,51938,53377,54313,55424,57148,52770,53996,56064,57755,58550,58155,58474,59349,60769,62394,64534,66357,67360,68553,69995,71242,72188,73482,74470
"12 Skåne county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",26525,27016,27681,28187,30091,33970,34330,34269,34447,36340,36898,37492,38215,39035,40475,48476,50751,53152,55507,57959,60673,63159,66113,68447,70885,72673,74799,76678,78687,80905,82860,85140,86713,89143
"12 Skåne county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",23281,24396,25231,26194,27620,30477,31444,31778,32562,35028,36315,37840,39858,41855,44481,56451,59902,63748,67195,71752,77296,81562,86140,90359,94534,98131,101926,105559,109268,113094,116560,120818,124185,128139
"12 Skåne county","total 16-74 years","post-graduate education (ISCED97 6)","men",3240,3381,3487,3629,3743,3685,3804,3831,3893,4262,4344,4440,4556,4675,4948,5195,5380,5616,5772,5978,6103,6186,6364,6524,6696,6760,6868,6989,7097,7234,7314,7385,7458,7576
"12 Skåne county","total 16-74 years","post-graduate education (ISCED97 6)","women",883,957,1042,1102,1159,846,905,932,981,1157,1222,1286,1385,1489,1671,1863,2048,2206,2375,2555,2738,2881,3105,3274,3468,3690,3883,4048,4197,4393,4586,4748,4908,5122
"12 Skåne county","total 16-74 years","no information about level of educational attainment","men",22745,21711,22322,23056,25356,5977,7989,9685,11711,9181,8466,8831,8048,8509,7681,7439,8230,8072,9057,9140,9416,12091,12599,13645,14671,15062,13699,13436,13452,13506,13724,15106,16789,17269
"12 Skåne county","total 16-74 years","no information about level of educational attainment","women",19653,18271,18836,19416,20942,4857,6916,8612,10756,8123,7931,8469,8348,8907,8090,7513,7996,7726,8627,8802,8670,10667,10389,11239,12015,12006,10933,10810,10645,10324,10241,11036,11983,12574
"13 Halland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",28324,27489,26473,25546,24647,24037,23220,22274,21398,20762,19815,18903,17961,17172,16463,15467,14778,14188,13589,12992,12400,11871,11338,10841,10301,9814,9283,8759,8224,7724,7255,6956,6484,6010
"13 Halland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",26571,25784,24792,23964,22938,21871,20953,19776,18962,18347,17442,16553,15664,14890,14118,13191,12455,11755,11097,10522,9964,9423,8918,8458,8010,7573,7114,6689,6281,5906,5560,5272,4969,4623
"13 Halland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",12267,12465,12622,12944,13106,14122,14214,14243,14101,14058,14652,14999,15557,15746,16157,15412,15551,15891,16043,16307,16645,17094,17328,17508,17738,17699,17514,17229,16937,16833,16833,17055,17290,17654
"13 Halland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",13929,14167,14264,14538,14309,13900,13940,13570,13410,13649,14085,14151,14490,14405,14550,13149,13154,13291,13420,13653,13835,14096,14302,14405,14457,14366,14004,13575,13053,12735,12599,12500,12561,12660
"13 Halland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",21371,22396,23367,24323,24991,26446,26981,27563,27966,28079,27597,26990,26659,26323,26039,26283,26253,26281,26177,26123,25966,26022,26178,26121,26020,25885,25713,25602,25528,25473,25327,25284,25104,24944
"13 Halland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",25084,25863,26640,27442,28292,30698,31076,32021,32307,32076,31492,31017,30629,30147,29751,29155,28803,28379,27968,27579,27211,27058,26809,26474,26187,25851,25486,25075,24735,24397,23974,23621,23134,22719
"13 Halland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",9361,9493,9752,9993,10099,11557,12040,12263,12565,13453,14251,14871,15444,16292,16881,17938,18581,19155,19817,20562,21391,22086,23000,23948,25026,25933,26780,27833,28616,29565,30222,30840,31587,32185
"13 Halland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",5642,6040,6470,6892,7342,8303,8755,9229,9659,10501,11188,11823,12369,13194,13595,15677,16371,17116,17774,18582,19266,20220,20947,21652,22557,23134,23936,24673,25335,25828,26222,26634,27142,27597
"13 Halland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",5202,5542,5842,6180,6539,7800,7967,8564,9049,9532,9774,10130,10442,10623,10894,10925,11126,11360,11693,11882,11950,12117,12362,12632,12990,13479,13879,14162,14446,14710,15092,15620,15893,16108
"13 Halland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",5756,6112,6350,6605,7219,8810,9151,9908,10603,11428,11793,12220,12564,12925,13330,12556,12933,13190,13615,13775,13602,13703,14001,14295,14698,15224,15542,15833,16237,16551,16890,17206,17402,17609
"13 Halland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",5091,5249,5464,5598,6083,6642,6803,6894,7065,7444,7594,7728,7952,8155,8372,9401,9805,10300,10860,11438,11921,12329,12735,13096,13529,13960,14347,14712,15113,15615,16085,16548,16938,17295
"13 Halland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",4427,4632,4826,5042,5359,5792,6056,6183,6378,6824,7101,7377,7814,8292,8831,11136,11824,12611,13488,14460,15734,16632,17606,18394,19285,20122,21050,21964,22788,23667,24668,25619,26670,27521
"13 Halland county","total 16-74 years","post-graduate education (ISCED97 6)","men",306,326,337,350,365,353,369,376,394,421,439,457,484,502,548,590,633,645,659,674,709,739,756,773,792,813,837,861,875,895,911,913,932,936
"13 Halland county","total 16-74 years","post-graduate education (ISCED97 6)","women",93,101,116,116,120,68,75,74,81,95,102,108,120,127,150,169,200,208,237,260,295,314,347,378,410,431,467,479,499,530,544,557,581,593
"13 Halland county","total 16-74 years","no information about level of educational attainment","men",4761,4539,4598,4654,5060,1065,1400,1647,2048,1536,1276,1244,1106,1131,1038,1032,1125,1103,1197,1253,1271,1482,1522,1565,1699,1678,1669,1624,1743,1763,2031,2350,2463,2623
"13 Halland county","total 16-74 years","no information about level of educational attainment","women",3555,3288,3309,3375,3595,896,1215,1438,1867,1396,1227,1196,1137,1184,1059,984,1019,986,1072,1108,1090,1228,1152,1182,1243,1208,1128,1088,1134,1213,1295,1573,1598,1646
"14 Västra Götaland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",146230,140991,134754,129425,123482,122629,117195,111784,106819,102831,97910,92934,87580,83284,79151,73797,69872,66610,63421,60249,57143,54218,51606,49229,46910,44842,42712,40387,38135,36020,34089,32482,30367,28325
"14 Västra Götaland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",154361,149039,142331,136651,129274,123760,117783,110069,104360,100189,94542,88872,83275,78413,73969,68530,64226,60629,57063,53762,50597,47467,44911,42518,40298,38404,36653,34639,32886,31386,29759,28387,26853,25279
"14 Västra Götaland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",77625,78162,77990,78803,78933,84030,83841,83107,82055,81908,85854,86882,90224,91728,93767,87308,87272,88697,89239,90870,92293,94357,95669,96855,96980,96621,95120,93696,92058,91900,91681,92336,92746,93491
"14 Västra Götaland county","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",86577,87078,87288,88123,86845,85732,85248,81463,78876,78850,81492,81935,83825,84888,85592,77044,76447,76684,76539,77080,77711,78814,79370,79567,79102,78735,76868,74693,72538,71395,70384,70059,69912,70268
"14 Västra Götaland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",124394,129194,134135,137666,139564,147158,148703,149602,149587,149419,145897,143427,141752,139481,137603,140377,140012,139390,138005,136670,135296,134940,134647,133886,133249,131935,131342,130443,129437,128719,127731,127104,125718,124156
"14 Västra Götaland county","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",140492,143676,146722,149210,152154,162956,163349,167207,167298,165376,161911,159023,156265,153000,150099,147295,145212,143216,140291,137759,135451,133634,132071,130087,128054,125807,124121,122250,120199,118072,116034,114201,111573,108987
"14 Västra Götaland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",61169,61613,62433,63113,63417,71363,72560,73773,74387,79464,83188,86943,89911,92723,95438,100323,104082,106748,109745,113141,117411,120747,125001,129108,133153,136279,140103,143645,147250,150073,152526,154715,157360,159348
"14 Västra Götaland county","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",35641,37497,39719,41719,44186,50664,53265,54995,56814,61811,65521,69183,71550,74330,76925,87059,90624,93817,96700,99611,103334,106401,109683,113354,116623,118865,121723,124373,127273,129000,130573,131770,133361,133923
"14 Västra Götaland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",29901,32303,34015,35181,37375,44856,45938,48748,52664,55829,57961,59584,60825,62540,63738,61302,61914,63442,65031,65958,66547,67504,68739,70292,72125,74729,76767,77983,79516,81523,83288,85257,86710,87868
"14 Västra Götaland county","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",34655,37096,38343,39298,41695,51367,52384,56191,59432,63767,66038,67919,69480,71606,73756,68112,69439,71570,73920,74847,73785,74255,75365,76771,78904,81779,83626,85004,86401,88153,89609,91348,92099,93379
"14 Västra Götaland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",34262,35133,35918,36597,38730,43027,43130,42888,43125,45151,46178,47103,48179,49088,50817,60459,63287,66511,69301,72369,75449,77455,80033,82477,84935,87430,89987,92308,94969,97893,100812,104244,106945,110508
"14 Västra Götaland county","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",30020,31534,32760,33978,35531,39051,39834,40223,41051,43548,45221,47221,49930,52211,55124,70378,74951,79478,83881,89308,95820,100699,105462,110283,114738,119121,124090,128976,133795,138640,143592,148677,153230,158255
"14 Västra Götaland county","total 16-74 years","post-graduate education (ISCED97 6)","men",3078,3240,3363,3518,3668,3594,3715,3759,3851,4199,4335,4474,4617,4717,4980,5316,5571,5793,5976,6207,6386,6430,6496,6594,6736,6872,7091,7176,7253,7441,7614,7794,7936,8084
"14 Västra Götaland county","total 16-74 years","post-graduate education (ISCED97 6)","women",1015,1110,1173,1226,1315,793,856,899,940,1125,1204,1273,1370,1460,1633,1884,2109,2246,2412,2643,2830,2987,3132,3318,3505,3676,3887,4068,4284,4513,4754,4932,5134,5400
"14 Västra Götaland county","total 16-74 years","no information about level of educational attainment","men",35594,33773,34462,35057,38163,9159,11432,13306,16186,12280,10178,10619,9179,9442,8596,8335,9124,8524,9133,9223,9284,10730,10690,11335,11696,11902,11498,11517,12104,12327,13305,15075,16695,17908
"14 Västra Götaland county","total 16-74 years","no information about level of educational attainment","women",27444,25113,25755,25836,27938,6461,8644,10402,13464,10269,8774,9286,8738,9122,8659,8063,8383,7907,8679,8623,8339,9570,8889,9414,9868,9817,9436,9397,9823,9739,10254,11325,12307,12668
"17 Värmland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",34558,33076,31582,30224,28744,27696,26408,25144,23946,22864,21488,20279,19074,18049,17018,15761,14819,13988,13169,12363,11527,10807,10155,9458,8888,8265,7702,7120,6631,6175,5735,5316,4817,4296
"17 Värmland county","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",34307,32768,31272,29807,28115,26676,25331,23611,22311,21281,19905,18608,17397,16303,15193,13992,13001,12126,11283,10466,9754,9017,8408,7764,7215,6728,6204,5734,5298,4906,4596,4217,3904,3535
