"region","yrkesgrupp (SSYK)","kön","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE Riket","214 civilingenjörer, arkitekter m.fl.","totalt",29800,31500,32600,32700,33400,35400,35300,36600,37900,38200,39000,40000,41200,41800
"SE21 Småland med öarna","214 civilingenjörer, arkitekter m.fl.","totalt",27100,28500,30900,29800,30100,30100,30100,31500,33000,34500,35100,37300,38200,39200
