"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","0 all sectors","214 Engineering professionals","men",44800,46200,46800,47600,49400
"SE11 Stockholm","0 all sectors","214 Engineering professionals","women",42100,42900,43700,44500,45700
"SE12 East-Central Sweden","0 all sectors","214 Engineering professionals","men",42100,42500,43100,44600,45400
"SE12 East-Central Sweden","0 all sectors","214 Engineering professionals","women",40100,40500,42100,43700,44100
"SE21 Småland and islands","0 all sectors","214 Engineering professionals","men",41500,40300,40100,42700,44500
"SE21 Småland and islands","0 all sectors","214 Engineering professionals","women",37400,37700,34700,39900,40600
"SE22 South Sweden","0 all sectors","214 Engineering professionals","men",44000,43900,44100,45300,45500
"SE22 South Sweden","0 all sectors","214 Engineering professionals","women",41400,41300,41400,42300,44000
"SE23 West Sweden","0 all sectors","214 Engineering professionals","men",43500,44000,43700,45100,46200
"SE23 West Sweden","0 all sectors","214 Engineering professionals","women",40100,40800,41600,42300,43600
"SE31 North-Central Sweden","0 all sectors","214 Engineering professionals","men",41000,38100,43200,43200,45100
"SE31 North-Central Sweden","0 all sectors","214 Engineering professionals","women",39100,39800,40300,41200,41700
"SE32 Central Norrland","0 all sectors","214 Engineering professionals","men",39400,41200,41200,41300,43200
"SE32 Central Norrland","0 all sectors","214 Engineering professionals","women",37800,38700,40300,41300,41900
"SE33 Upper Norrland","0 all sectors","214 Engineering professionals","men",40200,39800,40600,41500,43500
"SE33 Upper Norrland","0 all sectors","214 Engineering professionals","women",37200,37500,38000,38400,39300
