"region","sector","occupational group (SSYK)","sex","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","men",28900,30200,31700,32400,33200,35400,35700,36300,38100,37600,37900
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","women",26000,26600,27800,29100,29800,31500,32100,33000,33000,33900,34400
"SE12 East-Central Sweden","0 all sectors","311 Physical and engineering science technicians","men",25800,27200,28000,28600,29400,30800,31600,32400,33700,34600,34600
"SE12 East-Central Sweden","0 all sectors","311 Physical and engineering science technicians","women",22700,23200,24300,25200,25800,27600,28800,29400,30300,31400,32200
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","men",24400,25200,26500,27400,28400,29800,30300,31300,32400,33300,33900
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","women",21500,22600,23600,24200,24700,25600,27100,27700,29200,30600,30500
"SE22 South Sweden","0 all sectors","311 Physical and engineering science technicians","men",25700,27000,28000,28900,30000,31600,31800,32800,34000,35300,35900
"SE22 South Sweden","0 all sectors","311 Physical and engineering science technicians","women",22500,23000,24100,25500,26600,28700,29800,29800,31000,31700,32800
"SE23 West Sweden","0 all sectors","311 Physical and engineering science technicians","men",26600,27500,28400,29100,29600,31400,32400,32900,34100,35200,36500
"SE23 West Sweden","0 all sectors","311 Physical and engineering science technicians","women",23200,24200,24800,26000,26500,29200,29200,30400,31800,32800,33500
"SE31 North-Central Sweden","0 all sectors","311 Physical and engineering science technicians","men",24700,25900,27100,28100,29800,31100,31600,32300,33800,34000,35600
"SE31 North-Central Sweden","0 all sectors","311 Physical and engineering science technicians","women",21900,22600,23500,24400,26400,27100,28100,29100,29500,30900,31600
"SE32 Central Norrland","0 all sectors","311 Physical and engineering science technicians","men",24400,26700,25600,27100,27800,29800,30100,31100,33000,33900,35800
"SE32 Central Norrland","0 all sectors","311 Physical and engineering science technicians","women",21500,21500,23000,23100,24300,26800,26700,27400,28500,30200,31600
"SE33 Upper Norrland","0 all sectors","311 Physical and engineering science technicians","men",23800,25300,26000,27200,27800,28600,30200,31100,32100,33400,33500
"SE33 Upper Norrland","0 all sectors","311 Physical and engineering science technicians","women",20800,22400,23300,24300,24800,27100,27900,28300,28800,30400,31200
