"region","occupational group (SSYK)","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE11 Stockholm","311 Physical and engineering science technicians","men",26200,27600,28200,29500,30600,32500,33000,33800,35800,36300,36800,38600,38300,38900
"SE11 Stockholm","311 Physical and engineering science technicians","women",23300,24200,25800,26900,27200,28400,29700,30600,31900,32600,33500,33600,34500,34900
"SE12 East-Central Sweden","311 Physical and engineering science technicians","men",23000,24500,25700,26400,27800,28600,29200,30400,31500,32100,33000,34300,35000,35600
"SE12 East-Central Sweden","311 Physical and engineering science technicians","women",20700,22300,22600,23600,24100,25300,26300,27500,28600,29800,30300,31400,32500,33400
"SE21 Småland and islands","311 Physical and engineering science technicians","men",22500,23600,23900,24700,25800,27100,28000,29000,30300,30800,31800,33000,33800,34300
"SE21 Småland and islands","311 Physical and engineering science technicians","women",19900,20400,21200,22100,24000,24700,25100,25500,26000,27600,28000,29800,31300,30800
"SE22 South Sweden","311 Physical and engineering science technicians","men",23500,24000,25800,26500,27700,28500,29400,30800,32100,32300,33500,34400,35700,36800
"SE22 South Sweden","311 Physical and engineering science technicians","women",20900,21800,23700,23700,23500,24600,26300,27400,29400,30600,30800,31500,32300,33500
"SE23 West Sweden","311 Physical and engineering science technicians","men",24200,26000,26700,27100,28200,29300,29800,30400,32000,33100,33500,34700,36000,37700
"SE23 West Sweden","311 Physical and engineering science technicians","women",21100,22900,23800,24100,25000,25500,26700,27200,29900,29800,30900,32300,33400,34000
"SE31 North-Central Sweden","311 Physical and engineering science technicians","men",23000,23600,24500,25200,26700,27800,28900,30600,31700,32100,32700,34300,34500,36000
"SE31 North-Central Sweden","311 Physical and engineering science technicians","women",19700,21200,21800,22600,23400,24600,25400,27500,28200,28900,29800,29900,31500,32300
"SE32 Central Norrland","311 Physical and engineering science technicians","men",22500,22900,23600,24800,27300,26900,27400,28200,30100,30800,31900,33200,34400,36100
"SE32 Central Norrland","311 Physical and engineering science technicians","women",20300,19600,20600,22100,21500,24000,23100,24400,27000,26700,27500,28600,30400,31900
"SE33 Upper Norrland","311 Physical and engineering science technicians","men",21800,21900,24000,23800,25900,26900,28800,29000,28900,30700,31900,33100,34000,34000
"SE33 Upper Norrland","311 Physical and engineering science technicians","women",19700,20500,21600,21400,23900,24800,26000,26400,28200,29100,29500,30100,31800,31900
