"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"214 Architects, engineers and related professionals","18-24 years","total",19500,21800,23500,21200,21700,22100,23100,22500,24800,25000,24800,25700,26300,25700
"214 Architects, engineers and related professionals","25-29 years","total",23700,25600,25800,25800,26300,26600,26600,28000,29200,29300,29900,30400,30900,31300
"214 Architects, engineers and related professionals","30-34 years","total",27900,29100,30800,30400,30200,31700,32500,33600,34100,34000,34300,35000,36200,36800
"214 Architects, engineers and related professionals","35-39 years","total",30300,32700,33700,33700,34100,34500,35200,36800,38400,38300,39100,39900,41000,41400
"214 Architects, engineers and related professionals","40-44 years","total",32500,34000,34900,35000,36000,38200,37700,39100,40300,40700,41100,42200,43900,44400
"214 Architects, engineers and related professionals","45-49 years","total",33200,34300,36100,37000,36100,39100,38900,41700,42500,42400,42000,43600,44500,45600
"214 Architects, engineers and related professionals","50-54 years","total",31900,34900,36000,35000,37000,38600,39900,41100,42100,43300,43100,46200,47100,46500
"214 Architects, engineers and related professionals","55-59 years","total",33100,34900,35500,35000,37300,38100,38400,39800,42400,40900,43100,44200,45600,46500
"214 Architects, engineers and related professionals","60-64 years","total",33200,35500,35300,35800,37400,42400,37000,38300,39900,40200,43100,43700,45700,46400
