"region","occupation","sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"06 Jönköping county","311 Physical and engineering science technicians","men",3760,3778,3926,3754,3900,3907,4002,3793,3690,3760,3785,3803,3833
"06 Jönköping county","311 Physical and engineering science technicians","women",510,483,501,499,562,587,664,582,545,576,560,597,602
