Utbildningsgrupp (SUN 2000),SUN 2000,2006 Samtliga,2006 Kvinnor,2006 Män,2007 Samtliga,2007 Kvinnor,2007 Män,2008 Samtliga,2008 Kvinnor,2008 Män,2009 Samtliga,2009 Kvinnor,2009 Män,2010 Samtliga,2010 Kvinnor,2010 Män,2011 Samtliga,2011 Kvinnor,2011 Män,2012 Samtliga,2012 Kvinnor,2012 Män,2013 Samtliga,2013 Kvinnor,2013 Män,2014 Samtliga,2014 Kvinnor,2014 Män,2015 Samtliga,2015 Kvinnor,2015 Män,2016 Samtliga,2016 Kvinnor,2016 Män,2017 Samtliga,2017 Kvinnor,2017 Män,2018 Samtliga,2018 Kvinnor,2018 Män
"Samhällsvetenskap, juridik, handel, administration","Övrig eftergymnasial utb inom samhällsv, juridik, handel, administration                            ",74608,43226,31382,75195,43927,31268,76394,45095,31299,77938,46413,31525,79749,48051,31698,81982,49925,32057,84319,51851,32468,87265,54103,33162,90666,56282,34384,94296,58734,35562,98487,61304,37183,102601,64261,38340,104502,66106,38396
"Naturvetenskap, matematik och data",Yrkesinriktad utbildning på gymnasial nivå inom naturv/matematik/data                               ,24918,13629,11289,25245,13660,11585,25508,13628,11880,25706,13521,12185,25921,13426,12495,26085,13273,12812,26283,13247,13036,26383,13074,13309,26503,12958,13545,26565,12772,13793,26816,12716,14100,26944,12601,14343,26934,12462,14472
"Naturvetenskap, matematik och data","Minst 30 (nya) högskolepoäng inom naturv/matematik/data, ej examen                                  ",30548,10874,19674,31027,10853,20174,31418,10869,20549,32052,10924,21128,32814,11098,21716,33883,11336,22547,34773,11590,23183,35693,11721,23972,36731,11979,24752,37676,12167,25509,38968,12467,26501,40358,12831,27527,41773,13156,28617
"Naturvetenskap, matematik och data",Programmerar- och systemerarutbildning (eftergymnasial)                                             ,30590,11779,18811,31158,11918,19240,31836,12018,19818,32530,12109,20421,33468,12298,21170,34884,12523,22361,36246,12847,23399,37775,13227,24548,39693,13673,26020,41702,14222,27480,44029,14806,29223,46605,15557,31048,53116,16944,36172
"Naturvetenskap, matematik och data",Naturvetenskaplig högskoleutbildning (minst 3 år)                                                   ,40038,16517,23521,41471,17312,24159,42706,18126,24580,44248,19094,25154,45358,19961,25397,46900,21026,25874,47748,21734,26014,48673,22434,26239,49687,23094,26593,50576,23766,26810,52237,24776,27461,53964,25775,28189,55336,26642,28694
"Naturvetenskap, matematik och data","Övrig eftergymnasial utbildning inom naturvetenskap, matematik och data",6997,2362,4635,7365,2517,4848,7810,2712,5098,8383,2958,5425,8828,3167,5661,9538,3421,6117,10080,3651,6429,10587,3922,6665,11212,4202,7010,11777,4476,7301,12294,4680,7614,12608,4914,7694,12937,5098,7839
Teknik och tillverkning,"Tekniskt gymnasium, 1-3 år                                                                          ",91593,4869,86724,85711,4641,81070,79479,4359,75120,73169,4046,69123,67084,3778,63306,61407,3524,57883,55866,3230,52636,50958,3029,47929,47709,2899,44810,44529,2766,41763,41546,2645,38901,38485,2564,35921,35532,2439,33093
Teknik och tillverkning,Byggutbildning vid gymnasium/yrkesskola                                                             ,96241,1617,94624,96665,1629,95036,97998,1660,96338,99401,1689,97712,101244,1749,99495,103269,1858,101411,105767,1977,103790,108245,2113,106132,111068,2304,108764,114285,2595,111690,117869,2975,114894,121915,3427,118488,125203,3855,121348
Teknik och tillverkning,Elektro- och datateknisk utbildning  vid gymnasium/yrkesskola                                       ,121302,4637,116665,122362,4581,117781,123558,4511,119047,125499,4446,121053,127467,4445,123022,129633,4448,125185,132112,4444,127668,134684,4471,130213,136948,4481,132467,139594,4519,135075,142485,4636,137849,145552,4720,140832,147606,4777,142829
Teknik och tillverkning,Fordons- och farkostutbildning vid gymnasium/yrkesskola                                             ,79894,1480,78414,81174,1485,79689,82362,1495,80867,83024,1511,81513,84399,1567,82832,86140,1651,84489,87915,1762,86153,89910,1900,88010,92209,2044,90165,94651,2237,92414,96952,2429,94523,98911,2608,96303,100376,2760,97616
Teknik och tillverkning,Textil- och konfektionsutbildning vid gymnasium/yrkesskola                                          ,16800,15248,1552,16162,14700,1462,15541,14134,1407,14896,13540,1356,14254,12971,1283,13665,12439,1226,13079,11905,1174,12504,11386,1118,11939,10884,1055,11394,10403,991,10857,9918,939,10582,9684,898,10000,9160,840
Teknik och tillverkning,Livsmedelsutbildning vid gymnasium/yrkesskola                                                       ,12278,5263,7015,12343,5282,7061,12602,5481,7121,12815,5653,7162,13097,5897,7200,13417,6165,7252,13801,6487,7314,14112,6786,7326,14435,7074,7361,14790,7404,7386,15086,7672,7414,15473,8026,7447,15667,8239,7428
Teknik och tillverkning,Processutbildning vid gymnasium/yrkesskola                                                          ,6141,902,5239,6142,889,5253,6089,866,5223,6121,869,5252,6039,848,5191,5963,828,5135,5884,810,5074,5816,797,5019,5721,772,4949,5651,753,4898,5556,734,4822,5485,712,4773,5389,692,4697
Teknik och tillverkning,Energi & VVS-utbildning vid gymnasium/yrkesskola                                                    ,23302,264,23038,23411,264,23147,23411,264,23147,24126,308,23818,24224,308,23916,24408,312,24096,24682,320,24362,25009,325,24684,25402,331,25071,25862,351,25511,26482,371,26111,27071,397,26674,27744,416,27328
