Utbildningsgrupp (SUN 2000),SUN 2000,2006 Samtliga,2006 Kvinnor,2006 Män,2007 Samtliga,2007 Kvinnor,2007 Män,2008 Samtliga,2008 Kvinnor,2008 Män,2009 Samtliga,2009 Kvinnor,2009 Män,2010 Samtliga,2010 Kvinnor,2010 Män,2011 Samtliga,2011 Kvinnor,2011 Män,2012 Samtliga,2012 Kvinnor,2012 Män,2013 Samtliga,2013 Kvinnor,2013 Män,2014 Samtliga,2014 Kvinnor,2014 Män,2015 Samtliga,2015 Kvinnor,2015 Män,2016 Samtliga,2016 Kvinnor,2016 Män,2017 Samtliga,2017 Kvinnor,2017 Män,2018 Samtliga,2018 Kvinnor,2018 Män
Tjänster,Transportutbildning på gymnasial nivå                                                               ,54817,12771,42046,54735,12128,42607,54168,11381,42787,53567,10597,42970,53234,9873,43361,53074,9245,43829,52445,8632,43813,52648,8163,44485,53443,7803,45640,54614,7579,47035,55898,7445,48453,56814,7327,49487,57817,7267,50550
Tjänster,Övrig  gymnasial utbildning inom tjänsteområdet                                                     ,98024,81315,16709,94933,78790,16143,91505,75924,15581,91080,74830,16250,87728,72058,15670,85321,69883,15438,82787,67705,15082,80615,65807,14808,79065,64320,14745,77748,63030,14718,76894,62056,14838,76195,61495,14700,75223,60820,14403
Tjänster,"Minst 30 (nya) högskolepoäng inom tjänsteområdet, ej examen                                         ",4671,2391,2280,5006,2541,2465,5307,2668,2639,5769,2895,2874,6434,3160,3274,6982,3417,3565,7429,3630,3799,7918,3832,4086,8447,4057,4390,9013,4347,4666,9616,4552,5064,10030,4664,5366,10459,4803,5656
Tjänster,Yrkesmilitärutbildning på eftergymnasial nivå                                                       ,19816,565,19251,19264,564,18700,18656,568,18088,17921,558,17363,17542,569,16973,17206,580,16626,16902,604,16298,16635,617,16018,16131,624,15507,15699,633,15066,15230,634,14596,14758,634,14124,14282,639,13643
Tjänster,Polisutbildning                                                                                     ,19158,3929,15229,19277,4186,15091,19415,4452,14963,19573,4665,14908,20149,5045,15104,20203,5292,14911,19836,5369,14467,19674,5464,14210,19621,5567,14054,19566,5677,13889,19341,5739,13602,19268,5850,13418,19030,5858,13172
Tjänster,Transportutbildning på eftergymnasial nivå                                                          ,7336,1083,6253,7438,1179,6259,7656,1327,6329,8247,1522,6725,8538,1698,6840,9064,1928,7136,9538,2134,7404,9918,2302,7616,10283,2417,7866,10635,2522,8113,10930,2595,8335,11401,2718,8683,11829,2883,8946
Tjänster,Övrig eftergymnasial utbildning inom tjänsteområdet                                                 ,14646,8499,6147,16430,9516,6914,18424,10671,7753,20146,11900,8246,22329,13296,9033,24794,14831,9963,26925,16280,10645,29562,18127,11435,32162,19842,12320,34876,21645,13231,37652,23442,14210,40010,24952,15058,46240,27644,18596
Okänd,"Gymnasial utbildning, ospecificerad                                                                 ",77400,34612,42788,79587,35271,44316,80172,35227,44945,80426,35167,45259,80131,34760,45371,79798,34417,45381,79923,34269,45654,79852,33899,45953,80535,33930,46605,81211,34070,47141,82120,34238,47882,82023,33897,48126,82479,33745,48734
Okänd,"Eftergymnasial utbildning, ospecificerad                                                            ",23090,12053,11037,26036,13630,12406,27387,14335,13052,29147,15432,13715,30479,16261,14218,32251,17209,15042,34147,18384,15763,35201,18880,16321,37088,19682,17406,38492,20246,18246,40438,21118,19320,41827,21657,20170,42735,22314,20421
Okänd,UPPGIFT SAKNAS                                                                                      ,67020,30190,36830,67586,29083,38503,72864,31455,41409,78885,34054,44831,81354,34501,46853,76846,32272,44574,78683,33114,45569,82292,34365,47927,83713,34194,49519,87696,35069,52627,100356,40125,60231,110985,44242,66743,117867,47601,70266

