"region","occupation (SSYK 2012)","age","sex","2014","2015","2016","2017"
"06 Jönköping county","311 Physical and engineering science technicians","35-39 years","men",384,389,385,422
"06 Jönköping county","311 Physical and engineering science technicians","35-39 years","women",73,70,81,93
"06 Jönköping county","311 Physical and engineering science technicians","40-44 years","men",447,447,457,464
"06 Jönköping county","311 Physical and engineering science technicians","40-44 years","women",78,80,88,92
"06 Jönköping county","311 Physical and engineering science technicians","45-49 years","men",455,464,503,520
"06 Jönköping county","311 Physical and engineering science technicians","45-49 years","women",90,95,105,111
"06 Jönköping county","311 Physical and engineering science technicians","50-54 years","men",372,403,449,519
"06 Jönköping county","311 Physical and engineering science technicians","50-54 years","women",51,59,70,82
"06 Jönköping county","311 Physical and engineering science technicians","55-59 years","men",279,298,322,357
"06 Jönköping county","311 Physical and engineering science technicians","55-59 years","women",33,36,37,43
"06 Jönköping county","311 Physical and engineering science technicians","60-64 years","men",261,282,293,293
"06 Jönköping county","311 Physical and engineering science technicians","60-64 years","women",16,21,27,26
"07 Kronoberg county","311 Physical and engineering science technicians","16-24 years","men",40,40,43,46
"07 Kronoberg county","311 Physical and engineering science technicians","16-24 years","women",15,18,13,20
"07 Kronoberg county","311 Physical and engineering science technicians","25-29 years","men",139,136,139,159
"07 Kronoberg county","311 Physical and engineering science technicians","25-29 years","women",34,32,45,57
"07 Kronoberg county","311 Physical and engineering science technicians","30-34 years","men",198,188,201,213
"07 Kronoberg county","311 Physical and engineering science technicians","30-34 years","women",51,54,37,53
"07 Kronoberg county","311 Physical and engineering science technicians","35-39 years","men",240,226,227,256
"07 Kronoberg county","311 Physical and engineering science technicians","35-39 years","women",69,57,50,66
"07 Kronoberg county","311 Physical and engineering science technicians","40-44 years","men",245,231,218,253
"07 Kronoberg county","311 Physical and engineering science technicians","40-44 years","women",53,59,48,64
"07 Kronoberg county","311 Physical and engineering science technicians","45-49 years","men",284,247,264,265
"07 Kronoberg county","311 Physical and engineering science technicians","45-49 years","women",26,35,39,42
"07 Kronoberg county","311 Physical and engineering science technicians","50-54 years","men",197,213,227,258
"07 Kronoberg county","311 Physical and engineering science technicians","50-54 years","women",25,23,25,40
"07 Kronoberg county","311 Physical and engineering science technicians","55-59 years","men",193,190,190,212
"07 Kronoberg county","311 Physical and engineering science technicians","55-59 years","women",26,17,15,14
"07 Kronoberg county","311 Physical and engineering science technicians","60-64 years","men",160,152,140,143
"07 Kronoberg county","311 Physical and engineering science technicians","60-64 years","women",23,19,19,21
"08 Kalmar county","311 Physical and engineering science technicians","16-24 years","men",58,43,43,45
"08 Kalmar county","311 Physical and engineering science technicians","16-24 years","women",17,6,4,8
"08 Kalmar county","311 Physical and engineering science technicians","25-29 years","men",142,127,101,114
"08 Kalmar county","311 Physical and engineering science technicians","25-29 years","women",29,34,35,25
"08 Kalmar county","311 Physical and engineering science technicians","30-34 years","men",148,146,154,146
"08 Kalmar county","311 Physical and engineering science technicians","30-34 years","women",41,36,43,35
"08 Kalmar county","311 Physical and engineering science technicians","35-39 years","men",186,177,186,185
