"region","occupation (SSYK 2012)","age","sex","2014","2015","2016","2017"
"24 Västerbotten county","311 Physical and engineering science technicians","25-29 years","men",148,155,199,214
"24 Västerbotten county","311 Physical and engineering science technicians","25-29 years","women",39,39,60,71
"24 Västerbotten county","311 Physical and engineering science technicians","30-34 years","men",203,234,255,280
"24 Västerbotten county","311 Physical and engineering science technicians","30-34 years","women",46,51,55,72
"24 Västerbotten county","311 Physical and engineering science technicians","35-39 years","men",236,317,340,307
"24 Västerbotten county","311 Physical and engineering science technicians","35-39 years","women",50,75,74,86
"24 Västerbotten county","311 Physical and engineering science technicians","40-44 years","men",277,464,468,439
"24 Västerbotten county","311 Physical and engineering science technicians","40-44 years","women",53,68,81,87
"24 Västerbotten county","311 Physical and engineering science technicians","45-49 years","men",341,542,550,544
"24 Västerbotten county","311 Physical and engineering science technicians","45-49 years","women",53,71,78,83
"24 Västerbotten county","311 Physical and engineering science technicians","50-54 years","men",293,454,479,500
"24 Västerbotten county","311 Physical and engineering science technicians","50-54 years","women",34,53,53,63
"24 Västerbotten county","311 Physical and engineering science technicians","55-59 years","men",308,422,442,435
"24 Västerbotten county","311 Physical and engineering science technicians","55-59 years","women",31,44,48,51
"24 Västerbotten county","311 Physical and engineering science technicians","60-64 years","men",213,294,327,371
"24 Västerbotten county","311 Physical and engineering science technicians","60-64 years","women",15,23,33,34
"25 Norrbotten county","311 Physical and engineering science technicians","16-24 years","men",74,74,72,67
"25 Norrbotten county","311 Physical and engineering science technicians","16-24 years","women",16,22,22,25
"25 Norrbotten county","311 Physical and engineering science technicians","25-29 years","men",191,194,222,223
"25 Norrbotten county","311 Physical and engineering science technicians","25-29 years","women",43,48,65,88
"25 Norrbotten county","311 Physical and engineering science technicians","30-34 years","men",216,218,229,257
"25 Norrbotten county","311 Physical and engineering science technicians","30-34 years","women",57,54,71,74
"25 Norrbotten county","311 Physical and engineering science technicians","35-39 years","men",238,235,251,236
"25 Norrbotten county","311 Physical and engineering science technicians","35-39 years","women",64,73,72,76
"25 Norrbotten county","311 Physical and engineering science technicians","40-44 years","men",290,294,297,282
"25 Norrbotten county","311 Physical and engineering science technicians","40-44 years","women",58,56,51,66
"25 Norrbotten county","311 Physical and engineering science technicians","45-49 years","men",346,331,334,317
"25 Norrbotten county","311 Physical and engineering science technicians","45-49 years","women",71,58,70,55
"25 Norrbotten county","311 Physical and engineering science technicians","50-54 years","men",275,301,312,334
"25 Norrbotten county","311 Physical and engineering science technicians","50-54 years","women",36,45,50,59
"25 Norrbotten county","311 Physical and engineering science technicians","55-59 years","men",302,303,295,277
"25 Norrbotten county","311 Physical and engineering science technicians","55-59 years","women",35,36,39,35
"25 Norrbotten county","311 Physical and engineering science technicians","60-64 years","men",238,260,257,250
"25 Norrbotten county","311 Physical and engineering science technicians","60-64 years","women",24,32,23,22
"99 County unknown","311 Physical and engineering science technicians","16-24 years","men",2,2,0,2
"99 County unknown","311 Physical and engineering science technicians","16-24 years","women",1,0,1,0
"99 County unknown","311 Physical and engineering science technicians","25-29 years","men",6,2,5,5
"99 County unknown","311 Physical and engineering science technicians","25-29 years","women",2,0,0,1
"99 County unknown","311 Physical and engineering science technicians","30-34 years","men",5,4,4,6
"99 County unknown","311 Physical and engineering science technicians","30-34 years","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","35-39 years","men",3,3,3,4
"99 County unknown","311 Physical and engineering science technicians","35-39 years","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","40-44 years","men",5,1,1,2
"99 County unknown","311 Physical and engineering science technicians","40-44 years","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","45-49 years","men",7,7,4,3
"99 County unknown","311 Physical and engineering science technicians","45-49 years","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","50-54 years","men",4,4,6,2
"99 County unknown","311 Physical and engineering science technicians","50-54 years","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","55-59 years","men",6,3,2,3
"99 County unknown","311 Physical and engineering science technicians","55-59 years","women",0,0,0,0
"99 County unknown","311 Physical and engineering science technicians","60-64 years","men",1,2,2,3
"99 County unknown","311 Physical and engineering science technicians","60-64 years","women",1,1,0,0
