"occupational group (SSYK)","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"422 Client information clerks","total",16400,17400,17600,18300,18900,19200,20000,20100,21400,22600,22700,23000,23700,24200
"511 Travel attendants and related workers","total",21600,22200,23000,26900,24400,24200,24500,25300,26800,28800,26900,28000,28800,29000
"512 Housekeeping and restaurant services workers","total",16600,16100,17300,17300,19600,20400,21200,21100,22900,23000,23200,24000,24300,25600
"513 Personal care and related workers","total",16500,17300,18200,18500,18500,19100,20100,20200,21600,22600,22300,23000,24000,24300
"514 Other personal services workers","total",17100,18500,18800,19200,19100,20300,21500,21600,22900,24600,24200,24300,24100,24400
"515 Protective services workers","total",20400,23900,23600,24500,22700,24200,23600,25700,28700,25200,26000,28300,28800,28300
"522 Shop and stall salespersons and demonstrators","total",17200,17200,19100,19100,21400,23500,23700,24600,24700,25300,25700,25700,26400,27600
"611 Market gardeners and crop growers","total",..,..,..,21000,20000,..,26700,..,..,..,..,..,..,..
"612 Animal producers and related workers","total",..,..,..,..,20400,20500,20600,21600,21100,24200,21700,23300,23100,24700
"712 Building frame and related trades workers","total",20500,19200,20400,21300,22800,22700,23500,25700,26800,27600,26400,29800,29000,30100
"713 Building finishers and related trades workers","total",19700,20600,21000,21300,22400,23200,24400,25200,25200,26100,27300,29200,29000,29800
"714 Painters, building structure cleaners and related trades workers","total",20700,22900,21800,23900,23900,25700,27500,25400,..,..,..,..,..,..
"721 Metal moulders, welders, sheet-metal workers, structural-metal preparers and related trades workers","total",..,..,..,23300,..,24100,24000,25100,26800,28200,27300,31100,29200,32600
"722 Blacksmiths, tool-makers and related trades workers","total",20800,23000,22600,23300,26400,22900,24800,25800,25000,28400,28400,29100,33200,33700
"723 Machinery mechanics and fitters","total",17900,18800,19400,20700,22400,23200,23900,25300,26500,27700,28200,28800,29400,30500
"724 Electrical and electronic equipment mechanics and fitters","total",20300,21400,22000,22600,22800,23400,24500,24800,25800,26900,27300,28100,31000,30600
"731 Precision workers in metal and related materials","total",18600,20600,19700,20700,22200,21800,25500,23700,25300,25900,26900,28900,28400,29900
"734 Craft printing and related trades workers","total",20900,21300,22800,23100,22500,21500,22800,24100,24300,25300,26300,27400,28000,25600
"743 Garment and related trades workers","total",18700,18500,19300,20300,21600,21900,21800,21500,21600,..,23500,25300,25400,..
"812 Metal-processing-plant operators","total",..,..,..,..,..,..,..,..,..,30400,29000,28400,..,..
"814 Wood-processing- and papermaking-plant operators","total",..,..,..,..,29000,28500,28500,30400,32700,32400,32700,35500,37000,36700
"815 Chemical-processing-plant operators","total",21100,22300,22600,22300,27700,27900,29500,30500,32200,32200,31400,33300,32300,33900
"816 Power-production and related plant operators","total",20800,23600,23600,24100,25000,26200,26300,26500,27600,28700,28800,29400,29800,30200
"821 Metal- and mineral-products machine operators","total",22300,20800,21000,21500,23800,24700,25100,26500,25400,24900,27000,28100,30500,30900
"822 Chemical-products machine operators","total",20200,21500,19700,20900,25500,27200,26800,27200,29500,30800,29800,31300,32100,33700
"823 Rubber- and plastic-products machine operators","total",..,..,..,..,23500,..,23500,25600,27200,..,..,..,..,..
"824 Wood-products machine operators","total",..,..,..,20500,21300,..,25400,..,..,..,..,..,..,..
"825 Printing-, binding- and paper-products machine operators","total",20800,22200,23500,24100,23900,26600,25600,25900,26900,26500,26100,30500,29000,31200
"827 Food and related products machine operators","total",..,..,..,21900,23400,22300,21700,28000,26100,29300,..,30400,31700,34100
"828 Assemblers","total",19300,20100,21000,20700,22000,23100,23000,23500,25100,26200,26900,27900,28300,31100
"829 Other machine operators and assemblers","total",18900,21100,21700,22900,24000,24700,25200,26200,26700,28100,29400,31100,30500,31500
"831 Locomotive-engine drivers and related worker","total",22800,22800,22800,24300,24500,25800,26500,26300,28700,29600,30100,31200,31900,33500
"832 Motor-vehicle drivers","total",18000,18000,18000,18200,19400,19900,20300,21300,22100,23100,23100,23700,24700,25300
"833 Agricultural and other mobile-plant operators","total",..,..,..,20000,22500,21900,22800,23000,22100,22900,25100,22900,26500,27100
"834 Ships´ deck crews and related workers","total",..,..,..,23500,..,..,..,..,..,..,..,..,..,..
"912 Helpers and cleaners","total",15500,17000,16500,18100,17500,18500,19800,20100,20300,21000,21400,22100,21800,22900
"913 Helpers in restaurants","total",14900,15000,16700,16700,17800,17700,17900,18600,19000,20000,20500,20500,21000,21900
"914 Doorkeepers, newspaper and package deliverers and related workers","total",16500,17800,19200,18800,20100,20800,21300,21500,22100,22600,22900,23000,24000,24900
"915 Garbage collectors and related labourers","total",..,..,..,19700,20500,..,..,..,22100,24400,23500,22600,25300,25200
"919 Other sales and services elementary occupations","total",16000,16900,18000,18200,19300,20200,20400,21500,23900,24400,24000,25400,26200,25100
"931 Mining and construction labourers","total",..,..,..,..,..,..,..,..,..,25300,..,..,..,..
"932 Manufacturing labourers","total",20900,..,..,..,..,21200,21000,..,22100,23800,25000,24400,25600,26200
"933 Transport labourers and freight handlers","total",18800,18700,18400,19300,20400,25100,21000,20500,..,23300,27700,26400,25500,25200
"0001 Other professions","total",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0002 occupations unidentifiable","total",23300,26600,28200,25400,30700,29900,..,31200,33800,36700,34700,34900,38300,38000
