"sector","occupational group (SSYK)","sex","level of education","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0 all sectors","311 Physical and engineering science technicians","men","All educational levels",98900,101200,103100,98000,99800,102900,96800,94800,98100,97900,103100
"0 all sectors","311 Physical and engineering science technicians","women","All educational levels",17300,19000,21200,19600,21100,21100,19800,19100,21100,20600,21000
