"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"311 Physical and engineering science technicians","18-24 years","total",17800,18700,19300,20400,19300,20400,20900,21900,22400,23500,23700,23900,24600,25800
"311 Physical and engineering science technicians","25-29 years","total",21100,22300,23200,23500,23900,24500,25400,26200,27300,27500,28100,29000,30000,29700
"311 Physical and engineering science technicians","30-34 years","total",23600,24500,25700,26200,27100,27600,28800,29400,30700,31200,31400,32300,33500,34200
"311 Physical and engineering science technicians","35-39 years","total",24800,26000,26700,27300,27900,28800,29400,30500,32100,33100,33400,34900,36300,36900
"311 Physical and engineering science technicians","40-44 years","total",24600,26100,26800,27800,28900,30100,30500,31500,33400,34000,34500,35700,37100,38200
"311 Physical and engineering science technicians","45-49 years","total",24400,25400,26200,27100,28700,29900,30700,32000,33700,34300,35400,36800,37100,38000
"311 Physical and engineering science technicians","50-54 years","total",24100,25400,26400,27000,28700,29900,30900,31600,33500,34200,35100,37900,38000,38400
"311 Physical and engineering science technicians","55-59 years","total",24200,25300,26000,26800,28600,29500,30300,31500,32900,34200,34900,36000,36400,38900
"311 Physical and engineering science technicians","60-64 years","total",24300,25400,26500,26400,28500,29400,30500,31600,33700,34000,34600,36000,37100,38200
