"region","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE Sweden","214 Engineering professionals","total",42800,43100,43700,44800,45900
"SE21 Småland and islands","214 Engineering professionals","total",40800,39800,39000,42100,43300
