"region","occupation (SSYK 2012)","sex","2014","2015","2016","2017"
"01 Stockholm county","214 Engineering professionals","men",18181,18234,19015,19505
"01 Stockholm county","214 Engineering professionals","women",6312,6467,7082,7569
"03 Uppsala county","214 Engineering professionals","men",1657,1669,1761,1923
"03 Uppsala county","214 Engineering professionals","women",713,764,790,831
"04 Södermanland county","214 Engineering professionals","men",1085,1070,984,1035
"04 Södermanland county","214 Engineering professionals","women",266,278,251,272
"05 Östergötland county","214 Engineering professionals","men",4802,4953,5273,5310
"05 Östergötland county","214 Engineering professionals","women",1092,1186,1271,1373
"06 Jönköping county","214 Engineering professionals","men",1472,1465,1449,1509
"06 Jönköping county","214 Engineering professionals","women",275,278,285,326
"07 Kronoberg county","214 Engineering professionals","men",734,887,870,928
"07 Kronoberg county","214 Engineering professionals","women",202,235,193,204
"08 Kalmar county","214 Engineering professionals","men",859,880,865,872
"08 Kalmar county","214 Engineering professionals","women",149,154,165,164
"09 Gotland county","214 Engineering professionals","men",68,69,71,78
"09 Gotland county","214 Engineering professionals","women",24,31,28,31
"10 Blekinge county","214 Engineering professionals","men",873,1020,951,1107
"10 Blekinge county","214 Engineering professionals","women",192,195,200,210
"12 Skåne county","214 Engineering professionals","men",7056,6991,7423,7830
"12 Skåne county","214 Engineering professionals","women",2008,2051,2237,2376
"13 Halland county","214 Engineering professionals","men",969,990,994,978
"13 Halland county","214 Engineering professionals","women",256,253,283,297
"14 Västra Götaland county","214 Engineering professionals","men",15265,16612,15951,18660
"14 Västra Götaland county","214 Engineering professionals","women",4502,4857,5039,5769
"17 Värmland county","214 Engineering professionals","men",1225,1274,1243,1359
"17 Värmland county","214 Engineering professionals","women",268,294,297,323
"18 Örebro county","214 Engineering professionals","men",1303,1271,1313,1506
"18 Örebro county","214 Engineering professionals","women",311,305,320,384
"19 Västmanland county","214 Engineering professionals","men",2637,2322,2517,2548
"19 Västmanland county","214 Engineering professionals","women",633,589,627,646
"20 Dalarna county","214 Engineering professionals","men",1527,1539,1590,1625
"20 Dalarna county","214 Engineering professionals","women",329,357,395,396
"21 Gävleborg county","214 Engineering professionals","men",986,941,984,1067
"21 Gävleborg county","214 Engineering professionals","women",168,169,188,199
"22 Västernorrland county","214 Engineering professionals","men",1358,1362,1398,1342
"22 Västernorrland county","214 Engineering professionals","women",300,293,328,328
"23 Jämtland county","214 Engineering professionals","men",298,300,305,335
"23 Jämtland county","214 Engineering professionals","women",56,56,56,57
"24 Västerbotten county","214 Engineering professionals","men",1091,1132,1167,1195
"24 Västerbotten county","214 Engineering professionals","women",251,264,293,318
"25 Norrbotten county","214 Engineering professionals","men",1487,1469,1534,1543
"25 Norrbotten county","214 Engineering professionals","women",361,359,402,405
"99 County unknown","214 Engineering professionals","men",29,35,25,16
"99 County unknown","214 Engineering professionals","women",6,7,5,2
