"region","sektor","yrkesgrupper (SSYK 2012)","kön","2017"
"SE11 Stockholm","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",41000
"SE12 Östra Mellansverige","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",39600
"SE21 Småland med öarna","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",36700
"SE22 Sydsverige","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",40400
"SE23 Västsverige","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",38500
"SE31 Norra Mellansverige","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",37000
"SE32 Mellersta Norrland","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",37600
"SE33 Övre Norrland","0 samtliga sektorer","311 Ingenjörer och tekniker","totalt",35800
