"region","occupation (SSYK 2012)","sex","2014","2015","2016","2017"
"06 Jönköping county","311 Physical and engineering science technicians","men",2887,2982,3182,3437
"06 Jönköping county","311 Physical and engineering science technicians","women",526,550,650,702
