"region","occupation (SSYK 2012)","sex","2017"
"01 Stockholm county","214 Engineering professionals","men",19505
"01 Stockholm county","214 Engineering professionals","women",7569
"03 Uppsala county","214 Engineering professionals","men",1923
"03 Uppsala county","214 Engineering professionals","women",831
"04 Södermanland county","214 Engineering professionals","men",1035
"04 Södermanland county","214 Engineering professionals","women",272
"05 Östergötland county","214 Engineering professionals","men",5310
"05 Östergötland county","214 Engineering professionals","women",1373
"06 Jönköping county","214 Engineering professionals","men",1509
"06 Jönköping county","214 Engineering professionals","women",326
"07 Kronoberg county","214 Engineering professionals","men",928
"07 Kronoberg county","214 Engineering professionals","women",204
"08 Kalmar county","214 Engineering professionals","men",872
"08 Kalmar county","214 Engineering professionals","women",164
"09 Gotland county","214 Engineering professionals","men",78
"09 Gotland county","214 Engineering professionals","women",31
"10 Blekinge county","214 Engineering professionals","men",1107
"10 Blekinge county","214 Engineering professionals","women",210
"12 Skåne county","214 Engineering professionals","men",7830
"12 Skåne county","214 Engineering professionals","women",2376
"13 Halland county","214 Engineering professionals","men",978
"13 Halland county","214 Engineering professionals","women",297
"14 Västra Götaland county","214 Engineering professionals","men",18660
"14 Västra Götaland county","214 Engineering professionals","women",5769
"17 Värmland county","214 Engineering professionals","men",1359
"17 Värmland county","214 Engineering professionals","women",323
"18 Örebro county","214 Engineering professionals","men",1506
"18 Örebro county","214 Engineering professionals","women",384
"19 Västmanland county","214 Engineering professionals","men",2548
"19 Västmanland county","214 Engineering professionals","women",646
"20 Dalarna county","214 Engineering professionals","men",1625
"20 Dalarna county","214 Engineering professionals","women",396
"21 Gävleborg county","214 Engineering professionals","men",1067
"21 Gävleborg county","214 Engineering professionals","women",199
"22 Västernorrland county","214 Engineering professionals","men",1342
"22 Västernorrland county","214 Engineering professionals","women",328
"23 Jämtland county","214 Engineering professionals","men",335
"23 Jämtland county","214 Engineering professionals","women",57
"24 Västerbotten county","214 Engineering professionals","men",1195
"24 Västerbotten county","214 Engineering professionals","women",318
"25 Norrbotten county","214 Engineering professionals","men",1543
"25 Norrbotten county","214 Engineering professionals","women",405
"99 County unknown","214 Engineering professionals","men",16
"99 County unknown","214 Engineering professionals","women",2
