"region","age","level of education","sex","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"SE11 Stockholm","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",87668,85448,81045,78059,74010,78992,75053,71192,67841,65802,62558,59355,55500,52594,50142,46855,44408,42630,41031,39372,37880,36531,35500,34501,33532,32513,31503,30507,29305,28314,27130,26311,25559,24693
"SE11 Stockholm","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",105355,103322,97740,94261,86724,87478,82901,77332,73024,70519,66289,62276,57939,54431,51700,47898,44978,42655,40458,38726,37173,35666,34748,33900,33120,32303,31545,30596,29634,28747,27826,27020,26121,25275
"SE11 Stockholm","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",84320,85369,86267,87674,87519,93286,92742,91197,89816,90458,93762,95584,100537,103044,105436,100118,100898,103014,103811,105716,107657,110056,112089,114369,115891,116600,116395,115310,113665,113898,113524,114547,115238,116549
"SE11 Stockholm","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",99782,100733,100968,101561,98049,97564,96940,92428,89986,89979,92028,92615,95264,97041,97859,89028,88997,90176,89909,90549,91163,92443,93015,94264,94726,94446,93067,91654,89173,88552,87158,87075,87078,87393
"SE11 Stockholm","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",135255,139580,143301,145479,146450,152062,152569,153496,152812,152468,150031,147916,146740,144846,143107,144279,143237,142322,140079,138267,136954,136791,137367,136980,136961,136396,136440,136354,136387,136384,135809,135695,134339,133326
"SE11 Stockholm","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",175985,177812,179541,180159,183830,189823,188064,190513,188446,185642,181632,178090,174722,170296,166474,163718,160494,157391,153349,150058,147365,145626,144657,143150,141612,140019,138618,137158,135787,134049,132368,130469,127022,124567
"SE11 Stockholm","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",100982,101149,101731,102249,103128,109387,110963,110678,111890,112706,115871,119142,122016,125152,128881,134826,137150,138723,140419,142303,145131,147928,152060,156051,161070,165136,169759,173611,178133,180917,183278,185251,189037,190342
"SE11 Stockholm","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",66513,68268,71099,73229,76700,80926,84111,84437,86780,90142,93520,97376,100344,103599,107729,118256,120908,122681,124305,126397,129183,132014,136220,139810,144528,148110,152137,155604,158822,161033,162964,164048,167095,167823
"SE11 Stockholm","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",43947,46619,48300,49364,51377,62871,63645,68121,71858,80476,83742,86836,90291,92701,95211,88545,89530,91007,92270,93282,94575,96648,99215,102080,105306,109202,113480,117181,120179,123046,126074,128887,131046,133398
"SE11 Stockholm","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",53956,57109,58669,59617,62841,79175,79824,85670,89788,98010,101995,105544,109660,112672,115595,103539,104817,106594,108568,109045,108671,109577,111298,113349,116007,119664,122666,125757,128628,130984,133315,135308,137005,138764
