"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"0 all sectors","311 Physical and engineering science technicians","men","All educational levels",75400,78800,81900,80800,88400
"0 all sectors","311 Physical and engineering science technicians","women","All educational levels",15900,17300,18000,20000,23600
